DENTICEPSCLUPEOIDES	denticeps_clupeoides
CLUPEAHARENGUS	clupea_harengus
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
GADUSMORHUA	gadus_morhua
LABRUSBERGYLTA	labrus_bergylta
HIPPOCAMPUSCOMES	hippocampus_comes
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
BETTASPLENDENS	betta_splendens
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GAMBUSIAAFFINIS	gambusia_affinis
POECILIAMEXICANA	poecilia_mexicana
POECILIALATIPINNA	poecilia_latipinna
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
CYPRINODONVARIEGATUS	cyprinodon_variegatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
GOUANIAWILLDENOWI	gouania_willdenowi
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
LARIMICHTHYSCROCEA	larimichthys_crocea
MASTACEMBELUSARMATUS	mastacembelus_armatus
ANABASTESTUDINEUS	anabas_testudineus
PARAMBASSISRANGA	parambassis_ranga
MOLAMOLA	mola_mola
TAKIFUGURUBRIPES	takifugu_rubripes
LATESCALCARIFER	lates_calcarifer
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDI	seriola_lalandi
MONOPTERUSALBUS	monopterus_albus
COTTOPERCAGOBIO	cottoperca_gobio
PUNDAMILIANYEREREI	pundamilia_nyererei
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
