EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
ERINACEUSEUROPAEUS	erinaceus_europaeus
MYOTISLUCIFUGUS	myotis_lucifugus
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
CANISLUPUSDINGO	canis_lupus_dingo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
VULPESVULPES	vulpes_vulpes
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
SUSSCROFA	sus_scrofa
VICUGNAPACOS	vicugna_pacos
TURSIOPSTRUNCATUS	tursiops_truncatus
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
FUKOMYSDAMARENSIS	fukomys_damarensis
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSMUSCULUS	mus_musculus
MUSSPICILEGUS	mus_spicilegus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
MERIONESUNGUICULATUS	meriones_unguiculatus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MESOCRICETUSAURATUS	mesocricetus_auratus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MICROTUSOCHROGASTER	microtus_ochrogaster
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
TUPAIABELANGERI	tupaia_belangeri
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
MACACANEMESTRINA	macaca_nemestrina
MACACAFASCICULARIS	macaca_fascicularis
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
CERCOCEBUSATYS	cercocebus_atys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
RHINOPITHECUSBIETI	rhinopithecus_bieti
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
MICROCEBUSMURINUS	microcebus_murinus
PROLEMURSIMUS	prolemur_simus
PROPITHECUSCOQUERELI	propithecus_coquereli
OTOLEMURGARNETTII	otolemur_garnettii
ECHINOPSTELFAIRI	echinops_telfairi
PTEROPUSVAMPYRUS	pteropus_vampyrus
LOXODONTAAFRICANA	loxodonta_africana
PROCAVIACAPENSIS	procavia_capensis
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
MELEAGRISGALLOPAVO	meleagris_gallopavo
NUMIDAMELEAGRIS	numida_meleagris
CALIDRISPUGNAX	calidris_pugnax
CALIDRISPYGMAEA	calidris_pygmaea
PARUSMAJOR	parus_major
CYANISTESCAERULEUS	cyanistes_caeruleus
TAENIOPYGIAGUTTATA	taeniopygia_guttata
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
SERINUSCANARIA	serinus_canaria
JUNCOHYEMALIS	junco_hyemalis
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
FICEDULAALBICOLLIS	ficedula_albicollis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
MANACUSVITELLINUS	manacus_vitellinus
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
CROCODYLUSPOROSUS	crocodylus_porosus
POGONAVITTICEPS	pogona_vitticeps
ANOLISCAROLINENSIS	anolis_carolinensis
NOTECHISSCUTATUS	notechis_scutatus
SPHENODONPUNCTATUS	sphenodon_punctatus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
MASTACEMBELUSARMATUS	mastacembelus_armatus
MONOPTERUSALBUS	monopterus_albus
ANABASTESTUDINEUS	anabas_testudineus
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
LABRUSBERGYLTA	labrus_bergylta
POECILIAFORMOSA	poecilia_formosa
POECILIAMEXICANA	poecilia_mexicana
POECILIALATIPINNA	poecilia_latipinna
POECILIARETICULATA	poecilia_reticulata
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
