ENSPTET00000044277ENSPTEG00000030959_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000044277	ENSPTEG00000030959	PILIOCOLOBUSTEPHROSCELES
ENSPPYT00000006098ENSPPYG00000005151_PONGOABELII	ENSPPYT00000006098	ENSPPYG00000005151	PONGOABELII
ENSPPAT00000063775ENSPPAG00000043059_PANPANISCUS	ENSPPAT00000063775	ENSPPAG00000043059	PANPANISCUS
ENST00000544181ENSG00000198393_HOMOSAPIENS	ENST00000544181	ENSG00000198393	HOMOSAPIENS
ENSNLET00000040813ENSNLEG00000012466_NOMASCUSLEUCOGENYS	ENSNLET00000040813	ENSNLEG00000012466	NOMASCUSLEUCOGENYS
ENSPTRT00000105323ENSPTRG00000023082_PANTROGLODYTES	ENSPTRT00000105323	ENSPTRG00000023082	PANTROGLODYTES
ENSNLET00000031868ENSNLEG00000012466_NOMASCUSLEUCOGENYS	ENSNLET00000031868	ENSNLEG00000012466	NOMASCUSLEUCOGENYS
ENST00000328654ENSG00000198393_HOMOSAPIENS	ENST00000328654	ENSG00000198393	HOMOSAPIENS
ENST00000540238ENSG00000198393_HOMOSAPIENS	ENST00000540238	ENSG00000198393	HOMOSAPIENS
ENSNLET00000015898ENSNLEG00000012466_NOMASCUSLEUCOGENYS	ENSNLET00000015898	ENSNLEG00000012466	NOMASCUSLEUCOGENYS
ENSPPAT00000063781ENSPPAG00000043059_PANPANISCUS	ENSPPAT00000063781	ENSPPAG00000043059	PANPANISCUS
ENSPTRT00000010398ENSPTRG00000023082_PANTROGLODYTES	ENSPTRT00000010398	ENSPTRG00000023082	PANTROGLODYTES
ENSPPAT00000063784ENSPPAG00000043059_PANPANISCUS	ENSPPAT00000063784	ENSPPAG00000043059	PANPANISCUS
ENST00000534834ENSG00000198393_HOMOSAPIENS	ENST00000534834	ENSG00000198393	HOMOSAPIENS
ENSGGOT00000051295ENSGGOG00000004068_GORILLAGORILLA	ENSGGOT00000051295	ENSGGOG00000004068	GORILLAGORILLA
ENSGGOT00000058405ENSGGOG00000004068_GORILLAGORILLA	ENSGGOT00000058405	ENSGGOG00000004068	GORILLAGORILLA
ENSPTRT00000108846ENSPTRG00000023082_PANTROGLODYTES	ENSPTRT00000108846	ENSPTRG00000023082	PANTROGLODYTES
