TAKIFUGURUBRIPES	takifugu_rubripes
MONOPTERUSALBUS	monopterus_albus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
ESOXLUCIUS	esox_lucius
ESOXLUCIUS	esox_lucius
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
MONODELPHISDOMESTICA	monodelphis_domestica
SARCOPHILUSHARRISII	sarcophilus_harrisii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
PROCAVIACAPENSIS	procavia_capensis
OCHOTONAPRINCEPS	ochotona_princeps
APTERYXROWI	apteryx_rowi
APTERYXOWENII	apteryx_owenii
EPTATRETUSBURGERI	eptatretus_burgeri
CIONAINTESTINALIS	ciona_intestinalis
CIONASAVIGNYI	ciona_savignyi
CAENORHABDITISELEGANSSTRAINN2	caenorhabditis_elegans_strain_n2
DROSOPHILAMELANOGASTER	drosophila_melanogaster
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
