MACACAMULATTA	macaca_mulatta
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PROPITHECUSCOQUERELI	propithecus_coquereli
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
MERIONESUNGUICULATUS	meriones_unguiculatus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
PONGOABELII	pongo_abelii
PROLEMURSIMUS	prolemur_simus
CASTORCANADENSIS	castor_canadensis
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
NEOVISONVISON	neovison_vison
VULPESVULPES	vulpes_vulpes
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
SUSSCROFA	sus_scrofa
SOREXARANEUS	sorex_araneus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
THEROPITHECUSGELADA	theropithecus_gelada
ECHINOPSTELFAIRI	echinops_telfairi
APTERYXROWI	apteryx_rowi
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CROCODYLUSPOROSUS	crocodylus_porosus
NOTECHISSCUTATUS	notechis_scutatus
