FUNDULUSHETEROCLITUS	fundulus_heteroclitus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
TAENIOPYGIAGUTTATA	taeniopygia_guttata
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
NUMIDAMELEAGRIS	numida_meleagris
APTERYXHAASTII	apteryx_haastii
NOTECHISSCUTATUS	notechis_scutatus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
LATIMERIACHALUMNAE	latimeria_chalumnae
EPTATRETUSBURGERI	eptatretus_burgeri
