ENSNLET00000046344ENSNLEG00000035606_NOMASCUSLEUCOGENYS	ENSNLET00000046344	ENSNLEG00000035606	NOMASCUSLEUCOGENYS
ENSPTRT00000089054ENSPTRG00000048167_PANTROGLODYTES	ENSPTRT00000089054	ENSPTRG00000048167	PANTROGLODYTES
ENSPTRT00000095420ENSPTRG00000049606_PANTROGLODYTES	ENSPTRT00000095420	ENSPTRG00000049606	PANTROGLODYTES
ENSCCNT00000032594ENSCCNG00000024980_CASTORCANADENSIS	ENSCCNT00000032594	ENSCCNG00000024980	CASTORCANADENSIS
ENST00000407184ENSG00000272968_HOMOSAPIENS	ENST00000407184	ENSG00000272968	HOMOSAPIENS
ENSPTRT00000098439ENSPTRG00000051023_PANTROGLODYTES	ENSPTRT00000098439	ENSPTRG00000051023	PANTROGLODYTES
ENSPTRT00000097157ENSPTRG00000049529_PANTROGLODYTES	ENSPTRT00000097157	ENSPTRG00000049529	PANTROGLODYTES
ENST00000396904ENSG00000272968_HOMOSAPIENS	ENST00000396904	ENSG00000272968	HOMOSAPIENS
ENSPTRT00000088077ENSPTRG00000045418_PANTROGLODYTES	ENSPTRT00000088077	ENSPTRG00000045418	PANTROGLODYTES
ENSPPAT00000024879ENSPPAG00000022685_PANPANISCUS	ENSPPAT00000024879	ENSPPAG00000022685	PANPANISCUS
ENSPTRT00000091009ENSPTRG00000047969_PANTROGLODYTES	ENSPTRT00000091009	ENSPTRG00000047969	PANTROGLODYTES
ENSPTRT00000098683ENSPTRG00000046400_PANTROGLODYTES	ENSPTRT00000098683	ENSPTRG00000046400	PANTROGLODYTES
ENSPTRT00000086603ENSPTRG00000050484_PANTROGLODYTES	ENSPTRT00000086603	ENSPTRG00000050484	PANTROGLODYTES
ENSPTRT00000078128ENSPTRG00000045444_PANTROGLODYTES	ENSPTRT00000078128	ENSPTRG00000045444	PANTROGLODYTES
