ENSTRUT00000027799ENSTRUG00000010970_TAKIFUGURUBRIPES	ENSTRUT00000027799	ENSTRUG00000010970	TAKIFUGURUBRIPES
ENSMMOT00000002781ENSMMOG00000002181_MOLAMOLA	ENSMMOT00000002781	ENSMMOG00000002181	MOLAMOLA
ENSHCOT00000027845ENSHCOG00000018335_HIPPOCAMPUSCOMES	ENSHCOT00000027845	ENSHCOG00000018335	HIPPOCAMPUSCOMES
K11H3.1c.1WBGene00010778_CAENORHABDITISELEGANSSTRAINN2	K11H3.1c.1	WBGene00010778	CAENORHABDITISELEGANSSTRAINN2
K11H3.1c.2WBGene00010778_CAENORHABDITISELEGANSSTRAINN2	K11H3.1c.2	WBGene00010778	CAENORHABDITISELEGANSSTRAINN2
FBtr0071974FBgn0034825_DROSOPHILAMELANOGASTER	FBtr0071974	FBgn0034825	DROSOPHILAMELANOGASTER
FBtr0333228FBgn0001128_DROSOPHILAMELANOGASTER	FBtr0333228	FBgn0001128	DROSOPHILAMELANOGASTER
FBtr0333229FBgn0001128_DROSOPHILAMELANOGASTER	FBtr0333229	FBgn0001128	DROSOPHILAMELANOGASTER
K11H3.1b.1WBGene00010778_CAENORHABDITISELEGANSSTRAINN2	K11H3.1b.1	WBGene00010778	CAENORHABDITISELEGANSSTRAINN2
K11H3.1a.1WBGene00010778_CAENORHABDITISELEGANSSTRAINN2	K11H3.1a.1	WBGene00010778	CAENORHABDITISELEGANSSTRAINN2
K11H3.1d.2WBGene00010778_CAENORHABDITISELEGANSSTRAINN2	K11H3.1d.2	WBGene00010778	CAENORHABDITISELEGANSSTRAINN2
K11H3.1d.1WBGene00010778_CAENORHABDITISELEGANSSTRAINN2	K11H3.1d.1	WBGene00010778	CAENORHABDITISELEGANSSTRAINN2
FBtr0333230FBgn0001128_DROSOPHILAMELANOGASTER	FBtr0333230	FBgn0001128	DROSOPHILAMELANOGASTER
FBtr0079146FBgn0001128_DROSOPHILAMELANOGASTER	FBtr0079146	FBgn0001128	DROSOPHILAMELANOGASTER
ENSMMOT00000003078ENSMMOG00000002181_MOLAMOLA	ENSMMOT00000003078	ENSMMOG00000002181	MOLAMOLA
ENSMMOT00000002951ENSMMOG00000002181_MOLAMOLA	ENSMMOT00000002951	ENSMMOG00000002181	MOLAMOLA
