ENSCHAT00000001924ENSCHAG00000001231_CLUPEAHARENGUS	ENSCHAT00000001924	ENSCHAG00000001231	CLUPEAHARENGUS
ENSDCDT00000037193ENSDCDG00000020168_DENTICEPSCLUPEOIDES	ENSDCDT00000037193	ENSDCDG00000020168	DENTICEPSCLUPEOIDES
ENSDCDT00000022317ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022317	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSDCDT00000022354ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022354	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSDCDT00000032878ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000032878	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
ENSDCDT00000022358ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022358	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSECRT00000015671ENSECRG00000010275_ERPETOICHTHYSCALABARICUS	ENSECRT00000015671	ENSECRG00000010275	ERPETOICHTHYSCALABARICUS
ENSHHUT00000012419ENSHHUG00000007362_HUCHOHUCHO	ENSHHUT00000012419	ENSHHUG00000007362	HUCHOHUCHO
ENSDCDT00000033353ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000033353	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
ENSDCDT00000033352ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000033352	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
ENSDCDT00000036980ENSDCDG00000020168_DENTICEPSCLUPEOIDES	ENSDCDT00000036980	ENSDCDG00000020168	DENTICEPSCLUPEOIDES
ENSDCDT00000033391ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000033391	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
ENSDCDT00000022327ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022327	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSDCDT00000022366ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022366	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSDCDT00000032899ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000032899	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
ENSDCDT00000037108ENSDCDG00000020168_DENTICEPSCLUPEOIDES	ENSDCDT00000037108	ENSDCDG00000020168	DENTICEPSCLUPEOIDES
ENSDCDT00000022385ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022385	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSDCDT00000022133ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022133	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSPKIT00000039748ENSPKIG00000002053_PARAMORMYROPSKINGSLEYAE	ENSPKIT00000039748	ENSPKIG00000002053	PARAMORMYROPSKINGSLEYAE
ENSDCDT00000037171ENSDCDG00000020168_DENTICEPSCLUPEOIDES	ENSDCDT00000037171	ENSDCDG00000020168	DENTICEPSCLUPEOIDES
ENSDCDT00000037172ENSDCDG00000020168_DENTICEPSCLUPEOIDES	ENSDCDT00000037172	ENSDCDG00000020168	DENTICEPSCLUPEOIDES
ENSDCDT00000022291ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022291	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSDCDT00000037034ENSDCDG00000020168_DENTICEPSCLUPEOIDES	ENSDCDT00000037034	ENSDCDG00000020168	DENTICEPSCLUPEOIDES
ENSDCDT00000036979ENSDCDG00000020168_DENTICEPSCLUPEOIDES	ENSDCDT00000036979	ENSDCDG00000020168	DENTICEPSCLUPEOIDES
ENSDCDT00000033241ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000033241	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
ENSDCDT00000022111ENSDCDG00000012757_DENTICEPSCLUPEOIDES	ENSDCDT00000022111	ENSDCDG00000012757	DENTICEPSCLUPEOIDES
ENSDCDT00000033387ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000033387	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
ENSDCDT00000032702ENSDCDG00000018262_DENTICEPSCLUPEOIDES	ENSDCDT00000032702	ENSDCDG00000018262	DENTICEPSCLUPEOIDES
