OCTODONDEGUS	octodon_degus
CHINCHILLALANIGERA	chinchilla_lanigera
CAVIAAPEREA	cavia_aperea
CAVIAPORCELLUS	cavia_porcellus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
FUKOMYSDAMARENSIS	fukomys_damarensis
CASTORCANADENSIS	castor_canadensis
UROCITELLUSPARRYII	urocitellus_parryii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
SPERMOPHILUSDAURICUS	spermophilus_dauricus
PROPITHECUSCOQUERELI	propithecus_coquereli
PROLEMURSIMUS	prolemur_simus
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
HOMOSAPIENS	homo_sapiens
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MACACAMULATTA	macaca_mulatta
MACACAFASCICULARIS	macaca_fascicularis
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
CERCOCEBUSATYS	cercocebus_atys
CEBUSCAPUCINUS	cebus_capucinus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CALLITHRIXJACCHUS	callithrix_jacchus
AOTUSNANCYMAAE	aotus_nancymaae
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
DIPODOMYSORDII	dipodomys_ordii
MICROCEBUSMURINUS	microcebus_murinus
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MESOCRICETUSAURATUS	mesocricetus_auratus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSMUSCULUS	mus_musculus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
OTOLEMURGARNETTII	otolemur_garnettii
TUPAIABELANGERI	tupaia_belangeri
CARLITOSYRICHTA	carlito_syrichta
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
PTEROPUSVAMPYRUS	pteropus_vampyrus
URSUSAMERICANUS	ursus_americanus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
NEOVISONVISON	neovison_vison
CANISLUPUSDINGO	canis_lupus_dingo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
VULPESVULPES	vulpes_vulpes
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
VICUGNAPACOS	vicugna_pacos
SUSSCROFA	sus_scrofa
LOXODONTAAFRICANA	loxodonta_africana
PROCAVIACAPENSIS	procavia_capensis
ECHINOPSTELFAIRI	echinops_telfairi
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
ERINACEUSEUROPAEUS	erinaceus_europaeus
MONODELPHISDOMESTICA	monodelphis_domestica
MONODELPHISDOMESTICA	monodelphis_domestica
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
SARCOPHILUSHARRISII	sarcophilus_harrisii
POGONAVITTICEPS	pogona_vitticeps
ANOLISCAROLINENSIS	anolis_carolinensis
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
PELODISCUSSINENSIS	pelodiscus_sinensis
PELODISCUSSINENSIS	pelodiscus_sinensis
APTERYXHAASTII	apteryx_haastii
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
