ELECTROPHORUSELECTRICUS	electrophorus_electricus
CLUPEAHARENGUS	clupea_harengus
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASMELASTIGMA	oryzias_melastigma
ORYZIASLATIPES	oryzias_latipes
TAKIFUGURUBRIPES	takifugu_rubripes
HIPPOCAMPUSCOMES	hippocampus_comes
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
SCLEROPAGESFORMOSUS	scleropages_formosus
