JUNCOHYEMALIS	junco_hyemalis
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
FICEDULAALBICOLLIS	ficedula_albicollis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
PARUSMAJOR	parus_major
CALIDRISPYGMAEA	calidris_pygmaea
CALIDRISPUGNAX	calidris_pugnax
NUMIDAMELEAGRIS	numida_meleagris
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
CROCODYLUSPOROSUS	crocodylus_porosus
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
ANOLISCAROLINENSIS	anolis_carolinensis
SPHENODONPUNCTATUS	sphenodon_punctatus
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSSPICILEGUS	mus_spicilegus
MUSMUSCULUS	mus_musculus
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
CASTORCANADENSIS	castor_canadensis
SPERMOPHILUSDAURICUS	spermophilus_dauricus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
MUSTELAPUTORIUSFURO	mustela_putorius_furo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
FELISCATUS	felis_catus
