CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PROCAVIACAPENSIS	procavia_capensis
ECHINOPSTELFAIRI	echinops_telfairi
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
NANNOSPALAXGALILI	nannospalax_galili
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
CARLITOSYRICHTA	carlito_syrichta
TUPAIABELANGERI	tupaia_belangeri
TURSIOPSTRUNCATUS	tursiops_truncatus
MYOTISLUCIFUGUS	myotis_lucifugus
NOTAMACROPUSEUGENII	notamacropus_eugenii
SPHENODONPUNCTATUS	sphenodon_punctatus
ANOLISCAROLINENSIS	anolis_carolinensis
CIONASAVIGNYI	ciona_savignyi
XENOPUSTROPICALIS	xenopus_tropicalis
EPTATRETUSBURGERI	eptatretus_burgeri
CIONAINTESTINALIS	ciona_intestinalis
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
