CALIDRISPYGMAEA	calidris_pygmaea
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
NOTECHISSCUTATUS	notechis_scutatus
PROPITHECUSCOQUERELI	propithecus_coquereli
CARLITOSYRICHTA	carlito_syrichta
SPERMOPHILUSDAURICUS	spermophilus_dauricus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
MOLAMOLA	mola_mola
TAKIFUGURUBRIPES	takifugu_rubripes
HIPPOCAMPUSCOMES	hippocampus_comes
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
