FUNDULUSHETEROCLITUS	fundulus_heteroclitus
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
MOLAMOLA	mola_mola
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
CALIDRISPUGNAX	calidris_pugnax
ANOLISCAROLINENSIS	anolis_carolinensis
PANTHERAPARDUS	panthera_pardus
MUSTELAPUTORIUSFURO	mustela_putorius_furo
BOSTAURUS	bos_taurus
BOSTAURUS	bos_taurus
MYOTISLUCIFUGUS	myotis_lucifugus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CARLITOSYRICHTA	carlito_syrichta
JACULUSJACULUS	jaculus_jaculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
DIPODOMYSORDII	dipodomys_ordii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
OCTODONDEGUS	octodon_degus
MACACAMULATTA	macaca_mulatta
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
MESOCRICETUSAURATUS	mesocricetus_auratus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
THEROPITHECUSGELADA	theropithecus_gelada
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
CAVIAPORCELLUS	cavia_porcellus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
ECHINOPSTELFAIRI	echinops_telfairi
OCTODONDEGUS	octodon_degus
MERIONESUNGUICULATUS	meriones_unguiculatus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
OCTODONDEGUS	octodon_degus
MACACAFASCICULARIS	macaca_fascicularis
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
MERIONESUNGUICULATUS	meriones_unguiculatus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
MACACANEMESTRINA	macaca_nemestrina
CERCOCEBUSATYS	cercocebus_atys
THEROPITHECUSGELADA	theropithecus_gelada
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
MACACANEMESTRINA	macaca_nemestrina
PTEROPUSVAMPYRUS	pteropus_vampyrus
PANTHERAPARDUS	panthera_pardus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
POGONAVITTICEPS	pogona_vitticeps
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
MONODELPHISDOMESTICA	monodelphis_domestica
SARCOPHILUSHARRISII	sarcophilus_harrisii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
SALVATORMERIANAE	salvator_merianae
TAENIOPYGIAGUTTATA	taeniopygia_guttata
FICEDULAALBICOLLIS	ficedula_albicollis
CYANISTESCAERULEUS	cyanistes_caeruleus
SERINUSCANARIA	serinus_canaria
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
COTURNIXJAPONICA	coturnix_japonica
NUMIDAMELEAGRIS	numida_meleagris
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
APTERYXOWENII	apteryx_owenii
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
NOTECHISSCUTATUS	notechis_scutatus
RHINOPITHECUSBIETI	rhinopithecus_bieti
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PANPANISCUS	pan_paniscus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
MICROTUSOCHROGASTER	microtus_ochrogaster
NANNOSPALAXGALILI	nannospalax_galili
MICROTUSOCHROGASTER	microtus_ochrogaster
MESOCRICETUSAURATUS	mesocricetus_auratus
OCTODONDEGUS	octodon_degus
HOMOSAPIENS	homo_sapiens
AOTUSNANCYMAAE	aotus_nancymaae
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
CHINCHILLALANIGERA	chinchilla_lanigera
GORILLAGORILLA	gorilla_gorilla
RATTUSNORVEGICUS	rattus_norvegicus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
SUSSCROFA	sus_scrofa
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
MYOTISLUCIFUGUS	myotis_lucifugus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
CHINCHILLALANIGERA	chinchilla_lanigera
NANNOSPALAXGALILI	nannospalax_galili
NANNOSPALAXGALILI	nannospalax_galili
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
VULPESVULPES	vulpes_vulpes
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
MICROTUSOCHROGASTER	microtus_ochrogaster
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSTELAPUTORIUSFURO	mustela_putorius_furo
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
THEROPITHECUSGELADA	theropithecus_gelada
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
CAPRAHIRCUS	capra_hircus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
