PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
THEROPITHECUSGELADA	theropithecus_gelada
MACACANEMESTRINA	macaca_nemestrina
PROLEMURSIMUS	prolemur_simus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
URSUSAMERICANUS	ursus_americanus
CANISLUPUSDINGO	canis_lupus_dingo
NEOVISONVISON	neovison_vison
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
CAPRAHIRCUS	capra_hircus
SUSSCROFA	sus_scrofa
ECHINOPSTELFAIRI	echinops_telfairi
