AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
HAPLOCHROMISBURTONI	haplochromis_burtoni
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIAFORMOSA	poecilia_formosa
MONOPTERUSALBUS	monopterus_albus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
SCLEROPAGESFORMOSUS	scleropages_formosus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
PELODISCUSSINENSIS	pelodiscus_sinensis
GALLUSGALLUS	gallus_gallus
SALVATORMERIANAE	salvator_merianae
MONODELPHISDOMESTICA	monodelphis_domestica
MUSTELAPUTORIUSFURO	mustela_putorius_furo
CIONAINTESTINALIS	ciona_intestinalis
