OCTODONDEGUS	octodon_degus
MERIONESUNGUICULATUS	meriones_unguiculatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
THEROPITHECUSGELADA	theropithecus_gelada
THEROPITHECUSGELADA	theropithecus_gelada
CARLITOSYRICHTA	carlito_syrichta
CANISLUPUSDINGO	canis_lupus_dingo
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
NEOVISONVISON	neovison_vison
PANTHERAPARDUS	panthera_pardus
CANISLUPUSDINGO	canis_lupus_dingo
NEOVISONVISON	neovison_vison
NEOVISONVISON	neovison_vison
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
MERIONESUNGUICULATUS	meriones_unguiculatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MACACAFASCICULARIS	macaca_fascicularis
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
PROLEMURSIMUS	prolemur_simus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CASTORCANADENSIS	castor_canadensis
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
VULPESVULPES	vulpes_vulpes
CEBUSCAPUCINUS	cebus_capucinus
AOTUSNANCYMAAE	aotus_nancymaae
CASTORCANADENSIS	castor_canadensis
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
