PANTHERATIGRISALTAICA	panthera_tigris_altaica
NEOVISONVISON	neovison_vison
EQUUSASINUSASINUS	equus_asinus_asinus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
HOMOSAPIENS	homo_sapiens
PONGOABELII	pongo_abelii
RHINOPITHECUSBIETI	rhinopithecus_bieti
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MACACANEMESTRINA	macaca_nemestrina
MACACAFASCICULARIS	macaca_fascicularis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
THEROPITHECUSGELADA	theropithecus_gelada
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
PROPITHECUSCOQUERELI	propithecus_coquereli
LOXODONTAAFRICANA	loxodonta_africana
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
MONODELPHISDOMESTICA	monodelphis_domestica
