SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
HAPLOCHROMISBURTONI	haplochromis_burtoni
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASMELASTIGMA	oryzias_melastigma
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
MASTACEMBELUSARMATUS	mastacembelus_armatus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
HIPPOCAMPUSCOMES	hippocampus_comes
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
TAKIFUGURUBRIPES	takifugu_rubripes
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
MOLAMOLA	mola_mola
LABRUSBERGYLTA	labrus_bergylta
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
MAYLANDIAZEBRA	maylandia_zebra
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
HIPPOCAMPUSCOMES	hippocampus_comes
ESOXLUCIUS	esox_lucius
ICTALURUSPUNCTATUS	ictalurus_punctatus
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
DANIORERIO	danio_rerio
GADUSMORHUA	gadus_morhua
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
CIONASAVIGNYI	ciona_savignyi
POGONAVITTICEPS	pogona_vitticeps
ANOLISCAROLINENSIS	anolis_carolinensis
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
MELEAGRISGALLOPAVO	meleagris_gallopavo
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
NUMIDAMELEAGRIS	numida_meleagris
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
CALIDRISPUGNAX	calidris_pugnax
CALIDRISPUGNAX	calidris_pugnax
CALIDRISPYGMAEA	calidris_pygmaea
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
MANACUSVITELLINUS	manacus_vitellinus
LEPIDOTHRIXCORONATA	lepidothrix_coronata
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
TAENIOPYGIAGUTTATA	taeniopygia_guttata
SERINUSCANARIA	serinus_canaria
JUNCOHYEMALIS	junco_hyemalis
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
PARUSMAJOR	parus_major
CYANISTESCAERULEUS	cyanistes_caeruleus
FICEDULAALBICOLLIS	ficedula_albicollis
APTERYXOWENII	apteryx_owenii
APTERYXROWI	apteryx_rowi
APTERYXHAASTII	apteryx_haastii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CROCODYLUSPOROSUS	crocodylus_porosus
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
SUSSCROFA	sus_scrofa
VICUGNAPACOS	vicugna_pacos
