NOTAMACROPUSEUGENII	notamacropus_eugenii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PROCAVIACAPENSIS	procavia_capensis
LOXODONTAAFRICANA	loxodonta_africana
FUKOMYSDAMARENSIS	fukomys_damarensis
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
CAVIAPORCELLUS	cavia_porcellus
DIPODOMYSORDII	dipodomys_ordii
TUPAIABELANGERI	tupaia_belangeri
HOMOSAPIENS	homo_sapiens
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
EQUUSCABALLUS	equus_caballus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
