CIONAINTESTINALIS	ciona_intestinalis
CIONASAVIGNYI	ciona_savignyi
SPHENODONPUNCTATUS	sphenodon_punctatus
ANOLISCAROLINENSIS	anolis_carolinensis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
HAPLOCHROMISBURTONI	haplochromis_burtoni
MAYLANDIAZEBRA	maylandia_zebra
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
MOLAMOLA	mola_mola
LABRUSBERGYLTA	labrus_bergylta
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
HIPPOCAMPUSCOMES	hippocampus_comes
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
EPTATRETUSBURGERI	eptatretus_burgeri
