XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
ERPETOICHTHYSCALABARICUS	erpetoichthys_calabaricus
CALLORHINCHUSMILII	callorhinchus_milii
ANOLISCAROLINENSIS	anolis_carolinensis
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
CROCODYLUSPOROSUS	crocodylus_porosus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
PELODISCUSSINENSIS	pelodiscus_sinensis
CHRYSEMYSPICTA	chrysemys_picta
GOPHERUSAGASSIZII	gopherus_agassizii
SERINUSCANARIA	serinus_canaria
APTERYXROWI	apteryx_rowi
POGONAVITTICEPS	pogona_vitticeps
ANASPLATYRHYNCHOS	anas_platyrhynchos
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
MELEAGRISGALLOPAVO	meleagris_gallopavo
NUMIDAMELEAGRIS	numida_meleagris
LONCHURASTRIATA	lonchura_striata
TAENIOPYGIAGUTTATA	taeniopygia_guttata
PARUSMAJOR	parus_major
CYANISTESCAERULEUS	cyanistes_caeruleus
FICEDULAALBICOLLIS	ficedula_albicollis
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
JUNCOHYEMALIS	junco_hyemalis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
MANACUSVITELLINUS	manacus_vitellinus
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
CALIDRISPUGNAX	calidris_pugnax
CALIDRISPYGMAEA	calidris_pygmaea
APTERYXOWENII	apteryx_owenii
APTERYXHAASTII	apteryx_haastii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
VICUGNAPACOS	vicugna_pacos
SUSSCROFA	sus_scrofa
TURSIOPSTRUNCATUS	tursiops_truncatus
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
BOSINDICUS	bos_indicus
BOSINDICUS	bos_indicus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISON	bison_bison
EQUUSASINUS	equus_asinus
