CYPRINODONVARIEGATUS	cyprinodon_variegatus
POECILIAMEXICANA	poecilia_mexicana
HAPLOCHROMISBURTONI	haplochromis_burtoni
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
GOUANIAWILLDENOWI	gouania_willdenowi
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
SERIOLALALANDI	seriola_lalandi
SERIOLADUMERILI	seriola_dumerili
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
LABRUSBERGYLTA	labrus_bergylta
LARIMICHTHYSCROCEA	larimichthys_crocea
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
HIPPOCAMPUSCOMES	hippocampus_comes
ASTYANAXMEXICANUS	astyanax_mexicanus
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ELECTROPHORUSELECTRICUS	electrophorus_electricus
CLUPEAHARENGUS	clupea_harengus
ESOXLUCIUS	esox_lucius
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
EPTATRETUSBURGERI	eptatretus_burgeri
CAENORHABDITISELEGANS	caenorhabditis_elegans
