POECILIAMEXICANA	poecilia_mexicana
POECILIALATIPINNA	poecilia_latipinna
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
ERINACEUSEUROPAEUS	erinaceus_europaeus
ERINACEUSEUROPAEUS	erinaceus_europaeus
SOREXARANEUS	sorex_araneus
TUPAIABELANGERI	tupaia_belangeri
CALLITHRIXJACCHUS	callithrix_jacchus
RATTUSNORVEGICUS	rattus_norvegicus
PROCAVIACAPENSIS	procavia_capensis
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
CAENORHABDITISELEGANSSTRAINN2	caenorhabditis_elegans_strain_n2
