ENSPKIT00000020378ENSPKIG00000016731_PARAMORMYROPSKINGSLEYAE	ENSPKIT00000020378	ENSPKIG00000016731	PARAMORMYROPSKINGSLEYAE
ENSCHAT00000008599ENSCHAG00000003807_CLUPEAHARENGUS	ENSCHAT00000008599	ENSCHAG00000003807	CLUPEAHARENGUS
ENSSFOT00015009438ENSSFOG00015005713_SCLEROPAGESFORMOSUS	ENSSFOT00015009438	ENSSFOG00015005713	SCLEROPAGESFORMOSUS
ENSAMXT00000043432ENSAMXG00000002329_ASTYANAXMEXICANUS	ENSAMXT00000043432	ENSAMXG00000002329	ASTYANAXMEXICANUS
ENSCHAT00000008678ENSCHAG00000003807_CLUPEAHARENGUS	ENSCHAT00000008678	ENSCHAG00000003807	CLUPEAHARENGUS
ENSDCDT00000039267ENSDCDG00000021139_DENTICEPSCLUPEOIDES	ENSDCDT00000039267	ENSDCDG00000021139	DENTICEPSCLUPEOIDES
ENSDCDT00000039301ENSDCDG00000021139_DENTICEPSCLUPEOIDES	ENSDCDT00000039301	ENSDCDG00000021139	DENTICEPSCLUPEOIDES
ENSAMXT00000002383ENSAMXG00000002329_ASTYANAXMEXICANUS	ENSAMXT00000002383	ENSAMXG00000002329	ASTYANAXMEXICANUS
ENSCHAT00000008645ENSCHAG00000003807_CLUPEAHARENGUS	ENSCHAT00000008645	ENSCHAG00000003807	CLUPEAHARENGUS
ENSSFOT00015009460ENSSFOG00015005713_SCLEROPAGESFORMOSUS	ENSSFOT00015009460	ENSSFOG00015005713	SCLEROPAGESFORMOSUS
ENSCHAT00000008735ENSCHAG00000003807_CLUPEAHARENGUS	ENSCHAT00000008735	ENSCHAG00000003807	CLUPEAHARENGUS
ENSCHAT00000008443ENSCHAG00000003807_CLUPEAHARENGUS	ENSCHAT00000008443	ENSCHAG00000003807	CLUPEAHARENGUS
