ENSCINT00000031968ENSCING00000020168_CIONAINTESTINALIS	ENSCINT00000031968	ENSCING00000020168	CIONAINTESTINALIS
FBtr0334990FBgn0285954_DROSOPHILAMELANOGASTER	FBtr0334990	FBgn0285954	DROSOPHILAMELANOGASTER
FBtr0334991FBgn0285954_DROSOPHILAMELANOGASTER	FBtr0334991	FBgn0285954	DROSOPHILAMELANOGASTER
C27H5.3a.2WBGene00016173_CAENORHABDITISELEGANSSTRAINN2	C27H5.3a.2	WBGene00016173	CAENORHABDITISELEGANSSTRAINN2
C27H5.3a.1WBGene00016173_CAENORHABDITISELEGANSSTRAINN2	C27H5.3a.1	WBGene00016173	CAENORHABDITISELEGANSSTRAINN2
FBtr0334992FBgn0285954_DROSOPHILAMELANOGASTER	FBtr0334992	FBgn0285954	DROSOPHILAMELANOGASTER
C27H5.3b.1WBGene00016173_CAENORHABDITISELEGANSSTRAINN2	C27H5.3b.1	WBGene00016173	CAENORHABDITISELEGANSSTRAINN2
C27H5.3b.2WBGene00016173_CAENORHABDITISELEGANSSTRAINN2	C27H5.3b.2	WBGene00016173	CAENORHABDITISELEGANSSTRAINN2
C27H5.3b.3WBGene00016173_CAENORHABDITISELEGANSSTRAINN2	C27H5.3b.3	WBGene00016173	CAENORHABDITISELEGANSSTRAINN2
FBtr0074217FBgn0285954_DROSOPHILAMELANOGASTER	FBtr0074217	FBgn0285954	DROSOPHILAMELANOGASTER
ENSMMOT00000023469ENSMMOG00000017568_MOLAMOLA	ENSMMOT00000023469	ENSMMOG00000017568	MOLAMOLA
