RHINOPITHECUSBIETI	rhinopithecus_bieti
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
AOTUSNANCYMAAE	aotus_nancymaae
BISONBISONBISON	bison_bison_bison
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
JUNCOHYEMALIS	junco_hyemalis
SERINUSCANARIA	serinus_canaria
MANACUSVITELLINUS	manacus_vitellinus
NUMIDAMELEAGRIS	numida_meleagris
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
APTERYXROWI	apteryx_rowi
APTERYXHAASTII	apteryx_haastii
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
SALVATORMERIANAE	salvator_merianae
POGONAVITTICEPS	pogona_vitticeps
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
