OREOCHROMISNILOTICUS	oreochromis_niloticus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GADUSMORHUA	gadus_morhua
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
OCTODONDEGUS	octodon_degus
DIPODOMYSORDII	dipodomys_ordii
SOREXARANEUS	sorex_araneus
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
OCHOTONAPRINCEPS	ochotona_princeps
PROCAVIACAPENSIS	procavia_capensis
NOTAMACROPUSEUGENII	notamacropus_eugenii
TAENIOPYGIAGUTTATA	taeniopygia_guttata
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
APTERYXROWI	apteryx_rowi
