ENSCSAVT00000019044ENSCSAVG00000011066_CIONASAVIGNYI	ENSCSAVT00000019044	ENSCSAVG00000011066	CIONASAVIGNYI
FBtr0337049FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0337049	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0305357FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0305357	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0337050FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0337050	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0305355FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0305355	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0305354FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0305354	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0305353FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0305353	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0305352FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0305352	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0305351FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0305351	FBgn0262617	DROSOPHILAMELANOGASTER
FBtr0305356FBgn0262617_DROSOPHILAMELANOGASTER	FBtr0305356	FBgn0262617	DROSOPHILAMELANOGASTER
ENSCINT00000008251ENSCING00000004009_CIONAINTESTINALIS	ENSCINT00000008251	ENSCING00000004009	CIONAINTESTINALIS
