FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
POECILIALATIPINNA	poecilia_latipinna
GAMBUSIAAFFINIS	gambusia_affinis
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
LABRUSBERGYLTA	labrus_bergylta
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
CRICETULUSGRISEUS	cricetulus_griseus
MUSSPICILEGUS	mus_spicilegus
HETEROCEPHALUSGLABER	heterocephalus_glaber
THEROPITHECUSGELADA	theropithecus_gelada
MICROCEBUSMURINUS	microcebus_murinus
NOTECHISSCUTATUS	notechis_scutatus
