POGONAVITTICEPS	pogona_vitticeps
ANOLISCAROLINENSIS	anolis_carolinensis
ANOLISCAROLINENSIS	anolis_carolinensis
SALVATORMERIANAE	salvator_merianae
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
GOPHERUSAGASSIZII	gopherus_agassizii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
CROCODYLUSPOROSUS	crocodylus_porosus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
GALLUSGALLUS	gallus_gallus
MELEAGRISGALLOPAVO	meleagris_gallopavo
NUMIDAMELEAGRIS	numida_meleagris
CYANISTESCAERULEUS	cyanistes_caeruleus
PARUSMAJOR	parus_major
FICEDULAALBICOLLIS	ficedula_albicollis
JUNCOHYEMALIS	junco_hyemalis
TAENIOPYGIAGUTTATA	taeniopygia_guttata
LEPIDOTHRIXCORONATA	lepidothrix_coronata
SERINUSCANARIA	serinus_canaria
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
MANACUSVITELLINUS	manacus_vitellinus
COTURNIXJAPONICA	coturnix_japonica
CALIDRISPYGMAEA	calidris_pygmaea
CALIDRISPUGNAX	calidris_pugnax
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
SPHENODONPUNCTATUS	sphenodon_punctatus
SPHENODONPUNCTATUS	sphenodon_punctatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
LOXODONTAAFRICANA	loxodonta_africana
PROCAVIACAPENSIS	procavia_capensis
TUPAIABELANGERI	tupaia_belangeri
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CARLITOSYRICHTA	carlito_syrichta
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
MYOTISLUCIFUGUS	myotis_lucifugus
ECHINOPSTELFAIRI	echinops_telfairi
PTEROPUSVAMPYRUS	pteropus_vampyrus
MYOTISLUCIFUGUS	myotis_lucifugus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
SUSSCROFA	sus_scrofa
VICUGNAPACOS	vicugna_pacos
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
