PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
TAKIFUGURUBRIPES	takifugu_rubripes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
LABRUSBERGYLTA	labrus_bergylta
MONOPTERUSALBUS	monopterus_albus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
ANABASTESTUDINEUS	anabas_testudineus
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SERIOLADUMERILI	seriola_dumerili
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIARETICULATA	poecilia_reticulata
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GAMBUSIAAFFINIS	gambusia_affinis
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASMELASTIGMA	oryzias_melastigma
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
MASTACEMBELUSARMATUS	mastacembelus_armatus
MOLAMOLA	mola_mola
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
HIPPOCAMPUSCOMES	hippocampus_comes
HIPPOCAMPUSCOMES	hippocampus_comes
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
SCLEROPAGESFORMOSUS	scleropages_formosus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
NOTECHISSCUTATUS	notechis_scutatus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
SALVATORMERIANAE	salvator_merianae
DIPODOMYSORDII	dipodomys_ordii
DIPODOMYSORDII	dipodomys_ordii
CASTORCANADENSIS	castor_canadensis
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
PONGOABELII	pongo_abelii
THEROPITHECUSGELADA	theropithecus_gelada
AOTUSNANCYMAAE	aotus_nancymaae
CERCOCEBUSATYS	cercocebus_atys
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
AOTUSNANCYMAAE	aotus_nancymaae
JACULUSJACULUS	jaculus_jaculus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
THEROPITHECUSGELADA	theropithecus_gelada
MACACAMULATTA	macaca_mulatta
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
URSUSAMERICANUS	ursus_americanus
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
BOSTAURUS	bos_taurus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CAVIAAPEREA	cavia_aperea
SPERMOPHILUSDAURICUS	spermophilus_dauricus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
POGONAVITTICEPS	pogona_vitticeps
TAENIOPYGIAGUTTATA	taeniopygia_guttata
CAVIAAPEREA	cavia_aperea
CAVIAPORCELLUS	cavia_porcellus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
THEROPITHECUSGELADA	theropithecus_gelada
MACACANEMESTRINA	macaca_nemestrina
PAPIOANUBIS	papio_anubis
CERCOCEBUSATYS	cercocebus_atys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
GORILLAGORILLA	gorilla_gorilla
GORILLAGORILLA	gorilla_gorilla
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
PAPIOANUBIS	papio_anubis
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
RHINOPITHECUSBIETI	rhinopithecus_bieti
CEBUSCAPUCINUS	cebus_capucinus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PANTROGLODYTES	pan_troglodytes
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
CALLITHRIXJACCHUS	callithrix_jacchus
CERCOCEBUSATYS	cercocebus_atys
THEROPITHECUSGELADA	theropithecus_gelada
MACACAFASCICULARIS	macaca_fascicularis
FELISCATUS	felis_catus
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CERCOCEBUSATYS	cercocebus_atys
PAPIOANUBIS	papio_anubis
THEROPITHECUSGELADA	theropithecus_gelada
MACACAMULATTA	macaca_mulatta
MACACANEMESTRINA	macaca_nemestrina
MACACAFASCICULARIS	macaca_fascicularis
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
NOMASCUSLEUCOGENYS	nomascus_leucogenys
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CAPRAHIRCUS	capra_hircus
MUSTELAPUTORIUSFURO	mustela_putorius_furo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
TURSIOPSTRUNCATUS	tursiops_truncatus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
CAPRAHIRCUS	capra_hircus
CALLITHRIXJACCHUS	callithrix_jacchus
CEBUSCAPUCINUS	cebus_capucinus
AOTUSNANCYMAAE	aotus_nancymaae
CHINCHILLALANIGERA	chinchilla_lanigera
GORILLAGORILLA	gorilla_gorilla
PAPIOANUBIS	papio_anubis
MESOCRICETUSAURATUS	mesocricetus_auratus
MESOCRICETUSAURATUS	mesocricetus_auratus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
MACACAMULATTA	macaca_mulatta
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
CEBUSCAPUCINUS	cebus_capucinus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
NOMASCUSLEUCOGENYS	nomascus_leucogenys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
NANNOSPALAXGALILI	nannospalax_galili
AOTUSNANCYMAAE	aotus_nancymaae
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
BOSMUTUS	bos_mutus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
GOPHERUSAGASSIZII	gopherus_agassizii
DIPODOMYSORDII	dipodomys_ordii
RATTUSNORVEGICUS	rattus_norvegicus
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
MUSSPICILEGUS	mus_spicilegus
MUSSPICILEGUS	mus_spicilegus
RATTUSNORVEGICUS	rattus_norvegicus
MUSSPICILEGUS	mus_spicilegus
RATTUSNORVEGICUS	rattus_norvegicus
MUSSPICILEGUS	mus_spicilegus
RATTUSNORVEGICUS	rattus_norvegicus
MICROTUSOCHROGASTER	microtus_ochrogaster
MICROTUSOCHROGASTER	microtus_ochrogaster
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MESOCRICETUSAURATUS	mesocricetus_auratus
RATTUSNORVEGICUS	rattus_norvegicus
MICROTUSOCHROGASTER	microtus_ochrogaster
NANNOSPALAXGALILI	nannospalax_galili
DIPODOMYSORDII	dipodomys_ordii
CAPRAHIRCUS	capra_hircus
SUSSCROFA	sus_scrofa
ERINACEUSEUROPAEUS	erinaceus_europaeus
VICUGNAPACOS	vicugna_pacos
MYOTISLUCIFUGUS	myotis_lucifugus
MERIONESUNGUICULATUS	meriones_unguiculatus
MACACANEMESTRINA	macaca_nemestrina
PTEROPUSVAMPYRUS	pteropus_vampyrus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
RATTUSNORVEGICUS	rattus_norvegicus
NOTAMACROPUSEUGENII	notamacropus_eugenii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ANOLISCAROLINENSIS	anolis_carolinensis
GOPHERUSAGASSIZII	gopherus_agassizii
OCTODONDEGUS	octodon_degus
OCTODONDEGUS	octodon_degus
OCTODONDEGUS	octodon_degus
OCTODONDEGUS	octodon_degus
OCTODONDEGUS	octodon_degus
CHINCHILLALANIGERA	chinchilla_lanigera
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
FUKOMYSDAMARENSIS	fukomys_damarensis
CAVIAPORCELLUS	cavia_porcellus
THEROPITHECUSGELADA	theropithecus_gelada
MACACANEMESTRINA	macaca_nemestrina
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PAPIOANUBIS	papio_anubis
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CALLITHRIXJACCHUS	callithrix_jacchus
CEBUSCAPUCINUS	cebus_capucinus
PROPITHECUSCOQUERELI	propithecus_coquereli
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
PANTROGLODYTES	pan_troglodytes
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
AOTUSNANCYMAAE	aotus_nancymaae
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PANPANISCUS	pan_paniscus
CALLITHRIXJACCHUS	callithrix_jacchus
MICROCEBUSMURINUS	microcebus_murinus
MACACAFASCICULARIS	macaca_fascicularis
RHINOPITHECUSBIETI	rhinopithecus_bieti
PANTROGLODYTES	pan_troglodytes
CEBUSCAPUCINUS	cebus_capucinus
GORILLAGORILLA	gorilla_gorilla
GORILLAGORILLA	gorilla_gorilla
NOMASCUSLEUCOGENYS	nomascus_leucogenys
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
CARLITOSYRICHTA	carlito_syrichta
OCTODONDEGUS	octodon_degus
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
VULPESVULPES	vulpes_vulpes
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
CANISLUPUSDINGO	canis_lupus_dingo
COTURNIXJAPONICA	coturnix_japonica
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
MANACUSVITELLINUS	manacus_vitellinus
APTERYXOWENII	apteryx_owenii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
NOMASCUSLEUCOGENYS	nomascus_leucogenys
AOTUSNANCYMAAE	aotus_nancymaae
PROLEMURSIMUS	prolemur_simus
PONGOABELII	pongo_abelii
TUPAIABELANGERI	tupaia_belangeri
OCHOTONAPRINCEPS	ochotona_princeps
BISONBISONBISON	bison_bison_bison
BOSMUTUS	bos_mutus
PROCAVIACAPENSIS	procavia_capensis
CARLITOSYRICHTA	carlito_syrichta
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
EQUUSASINUSASINUS	equus_asinus_asinus
NEOVISONVISON	neovison_vison
THEROPITHECUSGELADA	theropithecus_gelada
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
HOMOSAPIENS	homo_sapiens
MUSMUSCULUS	mus_musculus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
APTERYXROWI	apteryx_rowi
APTERYXHAASTII	apteryx_haastii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
SERINUSCANARIA	serinus_canaria
JUNCOHYEMALIS	junco_hyemalis
NUMIDAMELEAGRIS	numida_meleagris
LEPIDOTHRIXCORONATA	lepidothrix_coronata
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
CALIDRISPYGMAEA	calidris_pygmaea
CALIDRISPUGNAX	calidris_pugnax
CAPRAHIRCUS	capra_hircus
