MOLAMOLA	mola_mola
MASTACEMBELUSARMATUS	mastacembelus_armatus
GAMBUSIAAFFINIS	gambusia_affinis
POECILIALATIPINNA	poecilia_latipinna
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
OCTODONDEGUS	octodon_degus
FUKOMYSDAMARENSIS	fukomys_damarensis
MESOCRICETUSAURATUS	mesocricetus_auratus
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
JACULUSJACULUS	jaculus_jaculus
DIPODOMYSORDII	dipodomys_ordii
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
SARCOPHILUSHARRISII	sarcophilus_harrisii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
