EPTATRETUSBURGERI	eptatretus_burgeri
PETROMYZONMARINUS	petromyzon_marinus
ICTALURUSPUNCTATUS	ictalurus_punctatus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
SCLEROPAGESFORMOSUS	scleropages_formosus
MOLAMOLA	mola_mola
LABRUSBERGYLTA	labrus_bergylta
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SERIOLADUMERILI	seriola_dumerili
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
MONOPTERUSALBUS	monopterus_albus
MASTACEMBELUSARMATUS	mastacembelus_armatus
ANABASTESTUDINEUS	anabas_testudineus
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
TAKIFUGURUBRIPES	takifugu_rubripes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIARETICULATA	poecilia_reticulata
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
GAMBUSIAAFFINIS	gambusia_affinis
CYPRINODONVARIEGATUS	cyprinodon_variegatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASMELASTIGMA	oryzias_melastigma
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
HIPPOCAMPUSCOMES	hippocampus_comes
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
DANIORERIO	danio_rerio
SUSSCROFA	sus_scrofa
OVISARIES	ovis_aries
SOREXARANEUS	sorex_araneus
PTEROPUSVAMPYRUS	pteropus_vampyrus
CEBUSCAPUCINUS	cebus_capucinus
CEBUSCAPUCINUS	cebus_capucinus
CEBUSCAPUCINUS	cebus_capucinus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
CERCOCEBUSATYS	cercocebus_atys
PAPIOANUBIS	papio_anubis
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
NOMASCUSLEUCOGENYS	nomascus_leucogenys
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
RHINOPITHECUSBIETI	rhinopithecus_bieti
MACACAFASCICULARIS	macaca_fascicularis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CERCOCEBUSATYS	cercocebus_atys
PAPIOANUBIS	papio_anubis
MACACANEMESTRINA	macaca_nemestrina
MACACAMULATTA	macaca_mulatta
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
NOMASCUSLEUCOGENYS	nomascus_leucogenys
AOTUSNANCYMAAE	aotus_nancymaae
THEROPITHECUSGELADA	theropithecus_gelada
CARLITOSYRICHTA	carlito_syrichta
PROPITHECUSCOQUERELI	propithecus_coquereli
MICROCEBUSMURINUS	microcebus_murinus
OTOLEMURGARNETTII	otolemur_garnettii
TUPAIABELANGERI	tupaia_belangeri
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MICROTUSOCHROGASTER	microtus_ochrogaster
RATTUSNORVEGICUS	rattus_norvegicus
MUSMUSCULUS	mus_musculus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
NANNOSPALAXGALILI	nannospalax_galili
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
MERIONESUNGUICULATUS	meriones_unguiculatus
JACULUSJACULUS	jaculus_jaculus
OCTODONDEGUS	octodon_degus
CAVIAPORCELLUS	cavia_porcellus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
CHINCHILLALANIGERA	chinchilla_lanigera
SPERMOPHILUSDAURICUS	spermophilus_dauricus
DIPODOMYSORDII	dipodomys_ordii
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
FUKOMYSDAMARENSIS	fukomys_damarensis
PROCAVIACAPENSIS	procavia_capensis
MONODELPHISDOMESTICA	monodelphis_domestica
NEOVISONVISON	neovison_vison
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
CANISLUPUSDINGO	canis_lupus_dingo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
MYOTISLUCIFUGUS	myotis_lucifugus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
CAPRAHIRCUS	capra_hircus
VICUGNAPACOS	vicugna_pacos
TURSIOPSTRUNCATUS	tursiops_truncatus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
SARCOPHILUSHARRISII	sarcophilus_harrisii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
PARUSMAJOR	parus_major
FICEDULAALBICOLLIS	ficedula_albicollis
JUNCOHYEMALIS	junco_hyemalis
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
CALIDRISPYGMAEA	calidris_pygmaea
COTURNIXJAPONICA	coturnix_japonica
APTERYXROWI	apteryx_rowi
SERINUSCANARIA	serinus_canaria
LEPIDOTHRIXCORONATA	lepidothrix_coronata
MELEAGRISGALLOPAVO	meleagris_gallopavo
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
APTERYXOWENII	apteryx_owenii
APTERYXHAASTII	apteryx_haastii
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
CROCODYLUSPOROSUS	crocodylus_porosus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
PELODISCUSSINENSIS	pelodiscus_sinensis
GOPHERUSAGASSIZII	gopherus_agassizii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
TAENIOPYGIAGUTTATA	taeniopygia_guttata
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
PANTHERATIGRISALTAICA	panthera_tigris_altaica
CAVIAAPEREA	cavia_aperea
URSUSAMERICANUS	ursus_americanus
EQUUSCABALLUS	equus_caballus
CYANISTESCAERULEUS	cyanistes_caeruleus
CALIDRISPUGNAX	calidris_pugnax
ASTYANAXMEXICANUS	astyanax_mexicanus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
UROCITELLUSPARRYII	urocitellus_parryii
EQUUSCABALLUS	equus_caballus
EQUUSASINUSASINUS	equus_asinus_asinus
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
NUMIDAMELEAGRIS	numida_meleagris
GALLUSGALLUS	gallus_gallus
SCLEROPAGESFORMOSUS	scleropages_formosus
CIONASAVIGNYI	ciona_savignyi
CIONAINTESTINALIS	ciona_intestinalis
DROSOPHILAMELANOGASTER	drosophila_melanogaster
