CAVIAPORCELLUS	cavia_porcellus
FUKOMYSDAMARENSIS	fukomys_damarensis
MICROTUSOCHROGASTER	microtus_ochrogaster
MERIONESUNGUICULATUS	meriones_unguiculatus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
VULPESVULPES	vulpes_vulpes
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
MYOTISLUCIFUGUS	myotis_lucifugus
EQUUSCABALLUS	equus_caballus
EQUUSCABALLUS	equus_caballus
EQUUSCABALLUS	equus_caballus
EQUUSCABALLUS	equus_caballus
EQUUSCABALLUS	equus_caballus
BISONBISONBISON	bison_bison_bison
BOSMUTUS	bos_mutus
CAPRAHIRCUS	capra_hircus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
SUSSCROFA	sus_scrofa
