ENSMEUT00000002911ENSMEUG00000002894_NOTAMACROPUSEUGENII	ENSMEUT00000002911	ENSMEUG00000002894	NOTAMACROPUSEUGENII
ENSMODT00000012772ENSMODG00000014377_MONODELPHISDOMESTICA	ENSMODT00000012772	ENSMODG00000014377	MONODELPHISDOMESTICA
ENSOANT00000041995ENSOANG00000030413_ORNITHORHYNCHUSANATINUS	ENSOANT00000041995	ENSOANG00000030413	ORNITHORHYNCHUSANATINUS
ENSPCIT00000054886ENSPCIG00000015221_PHASCOLARCTOSCINEREUS	ENSPCIT00000054886	ENSPCIG00000015221	PHASCOLARCTOSCINEREUS
ENSVURT00010007092ENSVURG00010004848_VOMBATUSURSINUS	ENSVURT00010007092	ENSVURG00010004848	VOMBATUSURSINUS
ENSOANT00000041852ENSOANG00000031518_ORNITHORHYNCHUSANATINUS	ENSOANT00000041852	ENSOANG00000031518	ORNITHORHYNCHUSANATINUS
ENSPCIT00000057264ENSPCIG00000015221_PHASCOLARCTOSCINEREUS	ENSPCIT00000057264	ENSPCIG00000015221	PHASCOLARCTOSCINEREUS
ENSSDAT00000004774ENSSDAG00000003644_SPERMOPHILUSDAURICUS	ENSSDAT00000004774	ENSSDAG00000003644	SPERMOPHILUSDAURICUS
ENSVURT00010007074ENSVURG00010004848_VOMBATUSURSINUS	ENSVURT00010007074	ENSVURG00010004848	VOMBATUSURSINUS
ENSVURT00010007122ENSVURG00010004848_VOMBATUSURSINUS	ENSVURT00010007122	ENSVURG00010004848	VOMBATUSURSINUS
ENSPCIT00000052472ENSPCIG00000015221_PHASCOLARCTOSCINEREUS	ENSPCIT00000052472	ENSPCIG00000015221	PHASCOLARCTOSCINEREUS
ENSPCIT00000024643ENSPCIG00000015221_PHASCOLARCTOSCINEREUS	ENSPCIT00000024643	ENSPCIG00000015221	PHASCOLARCTOSCINEREUS
ENSMODT00000053642ENSMODG00000014377_MONODELPHISDOMESTICA	ENSMODT00000053642	ENSMODG00000014377	MONODELPHISDOMESTICA
ENSMODT00000055482ENSMODG00000014377_MONODELPHISDOMESTICA	ENSMODT00000055482	ENSMODG00000014377	MONODELPHISDOMESTICA
ENSETET00000007842ENSETEG00000007842_ECHINOPSTELFAIRI	ENSETET00000007842	ENSETEG00000007842	ECHINOPSTELFAIRI
ENSPCAT00000015592ENSPCAG00000015562_PROCAVIACAPENSIS	ENSPCAT00000015592	ENSPCAG00000015562	PROCAVIACAPENSIS
ENSSDAT00000004789ENSSDAG00000003644_SPERMOPHILUSDAURICUS	ENSSDAT00000004789	ENSSDAG00000003644	SPERMOPHILUSDAURICUS
ENSMODT00000058826ENSMODG00000014377_MONODELPHISDOMESTICA	ENSMODT00000058826	ENSMODG00000014377	MONODELPHISDOMESTICA
ENSPCIT00000059225ENSPCIG00000015221_PHASCOLARCTOSCINEREUS	ENSPCIT00000059225	ENSPCIG00000015221	PHASCOLARCTOSCINEREUS
ENSSDAT00000004809ENSSDAG00000003644_SPERMOPHILUSDAURICUS	ENSSDAT00000004809	ENSSDAG00000003644	SPERMOPHILUSDAURICUS
ENSVURT00010007144ENSVURG00010004848_VOMBATUSURSINUS	ENSVURT00010007144	ENSVURG00010004848	VOMBATUSURSINUS
ENSVURT00010007163ENSVURG00010004848_VOMBATUSURSINUS	ENSVURT00010007163	ENSVURG00010004848	VOMBATUSURSINUS
