ENSPPYT00000009277ENSPPYG00000007925_PONGOABELII	ENSPPYT00000009277	ENSPPYG00000007925	PONGOABELII
ENSPTET00000018204ENSPTEG00000013566_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000018204	ENSPTEG00000013566	PILIOCOLOBUSTEPHROSCELES
ENST00000438470ENSG00000161955_HOMOSAPIENS	ENST00000438470	ENSG00000161955	HOMOSAPIENS
ENST00000396542ENSG00000161955_HOMOSAPIENS	ENST00000396542	ENSG00000161955	HOMOSAPIENS
ENSRBIT00000040992ENSRBIG00000032576_RHINOPITHECUSBIETI	ENSRBIT00000040992	ENSRBIG00000032576	RHINOPITHECUSBIETI
ENSPTET00000018201ENSPTEG00000013566_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000018201	ENSPTEG00000013566	PILIOCOLOBUSTEPHROSCELES
ENSGGOT00000033499ENSGGOG00000011530_GORILLAGORILLA	ENSGGOT00000033499	ENSGGOG00000011530	GORILLAGORILLA
ENSPPAT00000028841ENSPPAG00000025960_PANPANISCUS	ENSPPAT00000028841	ENSPPAG00000025960	PANPANISCUS
ENSRROT00000063898ENSRROG00000043005_RHINOPITHECUSROXELLANA	ENSRROT00000063898	ENSRROG00000043005	RHINOPITHECUSROXELLANA
ENST00000338784ENSG00000161955_HOMOSAPIENS	ENST00000338784	ENSG00000161955	HOMOSAPIENS
ENSRROT00000063873ENSRROG00000043005_RHINOPITHECUSROXELLANA	ENSRROT00000063873	ENSRROG00000043005	RHINOPITHECUSROXELLANA
ENSPPAT00000028844ENSPPAG00000025960_PANPANISCUS	ENSPPAT00000028844	ENSPPAG00000025960	PANPANISCUS
ENSPTET00000018188ENSPTEG00000013566_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000018188	ENSPTEG00000013566	PILIOCOLOBUSTEPHROSCELES
ENST00000436057ENSG00000161955_HOMOSAPIENS	ENST00000436057	ENSG00000161955	HOMOSAPIENS
ENSRROT00000063878ENSRROG00000043005_RHINOPITHECUSROXELLANA	ENSRROT00000063878	ENSRROG00000043005	RHINOPITHECUSROXELLANA
ENSRBIT00000041001ENSRBIG00000032576_RHINOPITHECUSBIETI	ENSRBIT00000041001	ENSRBIG00000032576	RHINOPITHECUSBIETI
ENSGGOT00000011575ENSGGOG00000011530_GORILLAGORILLA	ENSGGOT00000011575	ENSGGOG00000011530	GORILLAGORILLA
ENST00000483039ENSG00000161955_HOMOSAPIENS	ENST00000483039	ENSG00000161955	HOMOSAPIENS
ENSRBIT00000041007ENSRBIG00000032576_RHINOPITHECUSBIETI	ENSRBIT00000041007	ENSRBIG00000032576	RHINOPITHECUSBIETI
ENSNLET00000037528ENSNLEG00000009510_NOMASCUSLEUCOGENYS	ENSNLET00000037528	ENSNLEG00000009510	NOMASCUSLEUCOGENYS
ENSGGOT00000052806ENSGGOG00000011530_GORILLAGORILLA	ENSGGOT00000052806	ENSGGOG00000011530	GORILLAGORILLA
ENSNLET00000056591ENSNLEG00000009510_NOMASCUSLEUCOGENYS	ENSNLET00000056591	ENSNLEG00000009510	NOMASCUSLEUCOGENYS
ENST00000349228ENSG00000161955_HOMOSAPIENS	ENST00000349228	ENSG00000161955	HOMOSAPIENS
ENSPTRT00000080791ENSPTRG00000008692_PANTROGLODYTES	ENSPTRT00000080791	ENSPTRG00000008692	PANTROGLODYTES
ENST00000625791ENSG00000161955_HOMOSAPIENS	ENST00000625791	ENSG00000161955	HOMOSAPIENS
ENST00000396545ENSG00000161955_HOMOSAPIENS	ENST00000396545	ENSG00000161955	HOMOSAPIENS
ENSPPAT00000028852ENSPPAG00000025960_PANPANISCUS	ENSPPAT00000028852	ENSPPAG00000025960	PANPANISCUS
ENST00000380535ENSG00000161955_HOMOSAPIENS	ENST00000380535	ENSG00000161955	HOMOSAPIENS
ENSRROT00000063883ENSRROG00000043005_RHINOPITHECUSROXELLANA	ENSRROT00000063883	ENSRROG00000043005	RHINOPITHECUSROXELLANA
ENSPPAT00000028858ENSPPAG00000025960_PANPANISCUS	ENSPPAT00000028858	ENSPPAG00000025960	PANPANISCUS
ENSPTET00000018195ENSPTEG00000013566_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000018195	ENSPTEG00000013566	PILIOCOLOBUSTEPHROSCELES
ENSPTRT00000016018ENSPTRG00000008692_PANTROGLODYTES	ENSPTRT00000016018	ENSPTRG00000008692	PANTROGLODYTES
ENSGGOT00000045648ENSGGOG00000011530_GORILLAGORILLA	ENSGGOT00000045648	ENSGGOG00000011530	GORILLAGORILLA
ENSNLET00000012158ENSNLEG00000009510_NOMASCUSLEUCOGENYS	ENSNLET00000012158	ENSNLEG00000009510	NOMASCUSLEUCOGENYS
ENSPTRT00000099919ENSPTRG00000008692_PANTROGLODYTES	ENSPTRT00000099919	ENSPTRG00000008692	PANTROGLODYTES
ENSNLET00000057498ENSNLEG00000009510_NOMASCUSLEUCOGENYS	ENSNLET00000057498	ENSNLEG00000009510	NOMASCUSLEUCOGENYS
ENSRBIT00000040991ENSRBIG00000032576_RHINOPITHECUSBIETI	ENSRBIT00000040991	ENSRBIG00000032576	RHINOPITHECUSBIETI
ENSPTRT00000100508ENSPTRG00000008692_PANTROGLODYTES	ENSPTRT00000100508	ENSPTRG00000008692	PANTROGLODYTES
