NOMASCUSLEUCOGENYS	nomascus_leucogenys
HOMOSAPIENS	homo_sapiens
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
AOTUSNANCYMAAE	aotus_nancymaae
PROLEMURSIMUS	prolemur_simus
MICROCEBUSMURINUS	microcebus_murinus
UROCITELLUSPARRYII	urocitellus_parryii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
CASTORCANADENSIS	castor_canadensis
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
OVISARIES	ovis_aries
VICUGNAPACOS	vicugna_pacos
NEOVISONVISON	neovison_vison
MUSTELAPUTORIUSFURO	mustela_putorius_furo
URSUSAMERICANUS	ursus_americanus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
OCTODONDEGUS	octodon_degus
CAVIAAPEREA	cavia_aperea
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
MESOCRICETUSAURATUS	mesocricetus_auratus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSMUSCULUS	mus_musculus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
CAVIAPORCELLUS	cavia_porcellus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
BISONBISONBISON	bison_bison_bison
BOSTAURUS	bos_taurus
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
BOSTAURUS	bos_taurus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
CAPRAHIRCUS	capra_hircus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
URSUSMARITIMUS	ursus_maritimus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PROCAVIACAPENSIS	procavia_capensis
