CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
MONOPTERUSALBUS	monopterus_albus
ASTYANAXMEXICANUS	astyanax_mexicanus
DANIORERIO	danio_rerio
ESOXLUCIUS	esox_lucius
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SALVATORMERIANAE	salvator_merianae
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
CANISLUPUSDINGO	canis_lupus_dingo
URSUSAMERICANUS	ursus_americanus
MYOTISLUCIFUGUS	myotis_lucifugus
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
CAVIAAPEREA	cavia_aperea
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
SOREXARANEUS	sorex_araneus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
GAMBUSIAAFFINIS	gambusia_affinis
POECILIALATIPINNA	poecilia_latipinna
POECILIAFORMOSA	poecilia_formosa
POECILIAMEXICANA	poecilia_mexicana
EPTATRETUSBURGERI	eptatretus_burgeri
DROSOPHILAMELANOGASTER	drosophila_melanogaster
