SPHENODONPUNCTATUS	sphenodon_punctatus
NOTECHISSCUTATUS	notechis_scutatus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
GOPHERUSAGASSIZII	gopherus_agassizii
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
URSUSMARITIMUS	ursus_maritimus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
BOSTAURUS	bos_taurus
CASTORCANADENSIS	castor_canadensis
CASTORCANADENSIS	castor_canadensis
JACULUSJACULUS	jaculus_jaculus
CAVIAPORCELLUS	cavia_porcellus
OCTODONDEGUS	octodon_degus
FUKOMYSDAMARENSIS	fukomys_damarensis
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NUMIDAMELEAGRIS	numida_meleagris
MELEAGRISGALLOPAVO	meleagris_gallopavo
MANACUSVITELLINUS	manacus_vitellinus
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
MESOCRICETUSAURATUS	mesocricetus_auratus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
XENOPUSTROPICALIS	xenopus_tropicalis
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
