ENSMVIT00005008475ENSMVIG00005005558_MANACUSVITELLINUS	ENSMVIT00005008475	ENSMVIG00005005558	MANACUSVITELLINUS
ENSNPET00000022129ENSNPEG00000015878_NOTHOPROCTAPERDICARIA	ENSNPET00000022129	ENSNPEG00000015878	NOTHOPROCTAPERDICARIA
ENSNMET00000015192ENSNMEG00000009196_NUMIDAMELEAGRIS	ENSNMET00000015192	ENSNMEG00000009196	NUMIDAMELEAGRIS
ENSNMET00000015190ENSNMEG00000009196_NUMIDAMELEAGRIS	ENSNMET00000015190	ENSNMEG00000009196	NUMIDAMELEAGRIS
ENSAOWT00000010373ENSAOWG00000006065_APTERYXOWENII	ENSAOWT00000010373	ENSAOWG00000006065	APTERYXOWENII
ENSCJPT00005034490ENSCJPG00005019904_COTURNIXJAPONICA	ENSCJPT00005034490	ENSCJPG00005019904	COTURNIXJAPONICA
ENSGALT00000095393ENSGALG00000041263_GALLUSGALLUS	ENSGALT00000095393	ENSGALG00000041263	GALLUSGALLUS
ENSGALT00000091572ENSGALG00000041263_GALLUSGALLUS	ENSGALT00000091572	ENSGALG00000041263	GALLUSGALLUS
ENSAOWT00000010322ENSAOWG00000006065_APTERYXOWENII	ENSAOWT00000010322	ENSAOWG00000006065	APTERYXOWENII
ENSNSUT00000015596ENSNSUG00000010851_NOTECHISSCUTATUS	ENSNSUT00000015596	ENSNSUG00000010851	NOTECHISSCUTATUS
ENSPVIT00000023386ENSPVIG00000014397_POGONAVITTICEPS	ENSPVIT00000023386	ENSPVIG00000014397	POGONAVITTICEPS
ENSSMRT00000009344ENSSMRG00000006415_SALVATORMERIANAE	ENSSMRT00000009344	ENSSMRG00000006415	SALVATORMERIANAE
ENSSMRT00000009385ENSSMRG00000006415_SALVATORMERIANAE	ENSSMRT00000009385	ENSSMRG00000006415	SALVATORMERIANAE
ENSCCET00000017447ENSCCEG00000010931_CYANISTESCAERULEUS	ENSCCET00000017447	ENSCCEG00000010931	CYANISTESCAERULEUS
ENSPVIT00000023389ENSPVIG00000014397_POGONAVITTICEPS	ENSPVIT00000023389	ENSPVIG00000014397	POGONAVITTICEPS
ENSARWT00000027307ENSARWG00000016419_APTERYXROWI	ENSARWT00000027307	ENSARWG00000016419	APTERYXROWI
ENSARWT00000027305ENSARWG00000016329_APTERYXROWI	ENSARWT00000027305	ENSARWG00000016329	APTERYXROWI
ENSNPET00000022121ENSNPEG00000015878_NOTHOPROCTAPERDICARIA	ENSNPET00000022121	ENSNPEG00000015878	NOTHOPROCTAPERDICARIA
ENSARWT00000027273ENSARWG00000016329_APTERYXROWI	ENSARWT00000027273	ENSARWG00000016329	APTERYXROWI
ENSNPET00000022124ENSNPEG00000015878_NOTHOPROCTAPERDICARIA	ENSNPET00000022124	ENSNPEG00000015878	NOTHOPROCTAPERDICARIA
ENSAOWT00000010393ENSAOWG00000006065_APTERYXOWENII	ENSAOWT00000010393	ENSAOWG00000006065	APTERYXOWENII
ENSACAT00000025747ENSACAG00000025881_ANOLISCAROLINENSIS	ENSACAT00000025747	ENSACAG00000025881	ANOLISCAROLINENSIS
ENSSCAT00000019219ENSSCAG00000012477_SERINUSCANARIA	ENSSCAT00000019219	ENSSCAG00000012477	SERINUSCANARIA
ENSDNVT00000022093ENSDNVG00000012836_DROMAIUSNOVAEHOLLANDIAE	ENSDNVT00000022093	ENSDNVG00000012836	DROMAIUSNOVAEHOLLANDIAE
ENSNPET00000022146ENSNPEG00000015878_NOTHOPROCTAPERDICARIA	ENSNPET00000022146	ENSNPEG00000015878	NOTHOPROCTAPERDICARIA
ENSDNVT00000022098ENSDNVG00000012836_DROMAIUSNOVAEHOLLANDIAE	ENSDNVT00000022098	ENSDNVG00000012836	DROMAIUSNOVAEHOLLANDIAE
ENSGALT00000108313ENSGALG00000041263_GALLUSGALLUS	ENSGALT00000108313	ENSGALG00000041263	GALLUSGALLUS
ENSMGAT00000016939ENSMGAG00000015065_MELEAGRISGALLOPAVO	ENSMGAT00000016939	ENSMGAG00000015065	MELEAGRISGALLOPAVO
ENSARWT00000027296ENSARWG00000016329_APTERYXROWI	ENSARWT00000027296	ENSARWG00000016329	APTERYXROWI
ENSDNVT00000022117ENSDNVG00000012836_DROMAIUSNOVAEHOLLANDIAE	ENSDNVT00000022117	ENSDNVG00000012836	DROMAIUSNOVAEHOLLANDIAE
ENSNPET00000022111ENSNPEG00000015878_NOTHOPROCTAPERDICARIA	ENSNPET00000022111	ENSNPEG00000015878	NOTHOPROCTAPERDICARIA
ENSNMET00000015189ENSNMEG00000009196_NUMIDAMELEAGRIS	ENSNMET00000015189	ENSNMEG00000009196	NUMIDAMELEAGRIS
ENSSMRT00000009356ENSSMRG00000006415_SALVATORMERIANAE	ENSSMRT00000009356	ENSSMRG00000006415	SALVATORMERIANAE
ENSPVIT00000023395ENSPVIG00000014397_POGONAVITTICEPS	ENSPVIT00000023395	ENSPVIG00000014397	POGONAVITTICEPS
ENSPVIT00000023392ENSPVIG00000014397_POGONAVITTICEPS	ENSPVIT00000023392	ENSPVIG00000014397	POGONAVITTICEPS
ENSCJPT00005034488ENSCJPG00005019904_COTURNIXJAPONICA	ENSCJPT00005034488	ENSCJPG00005019904	COTURNIXJAPONICA
ENSDNVT00000022104ENSDNVG00000012836_DROMAIUSNOVAEHOLLANDIAE	ENSDNVT00000022104	ENSDNVG00000012836	DROMAIUSNOVAEHOLLANDIAE
ENSAHAT00000008703ENSAHAG00000005819_APTERYXHAASTII	ENSAHAT00000008703	ENSAHAG00000005819	APTERYXHAASTII
ENSAHAT00000008707ENSAHAG00000005819_APTERYXHAASTII	ENSAHAT00000008707	ENSAHAG00000005819	APTERYXHAASTII
ENSNPET00000022127ENSNPEG00000015878_NOTHOPROCTAPERDICARIA	ENSNPET00000022127	ENSNPEG00000015878	NOTHOPROCTAPERDICARIA
ENSNPET00000022137ENSNPEG00000015878_NOTHOPROCTAPERDICARIA	ENSNPET00000022137	ENSNPEG00000015878	NOTHOPROCTAPERDICARIA
ENSAHAT00000008695ENSAHAG00000005815_APTERYXHAASTII	ENSAHAT00000008695	ENSAHAG00000005815	APTERYXHAASTII
ENSSCAT00000019222ENSSCAG00000012477_SERINUSCANARIA	ENSSCAT00000019222	ENSSCAG00000012477	SERINUSCANARIA
ENSCJPT00005034491ENSCJPG00005019904_COTURNIXJAPONICA	ENSCJPT00005034491	ENSCJPG00005019904	COTURNIXJAPONICA
ENSSMRT00000009378ENSSMRG00000006415_SALVATORMERIANAE	ENSSMRT00000009378	ENSSMRG00000006415	SALVATORMERIANAE
ENSGALT00000082498ENSGALG00000041263_GALLUSGALLUS	ENSGALT00000082498	ENSGALG00000041263	GALLUSGALLUS
ENSAOWT00000009947ENSAOWG00000006028_APTERYXOWENII	ENSAOWT00000009947	ENSAOWG00000006028	APTERYXOWENII
ENSAOWT00000010385ENSAOWG00000006065_APTERYXOWENII	ENSAOWT00000010385	ENSAOWG00000006065	APTERYXOWENII
