MONOPTERUSALBUS	monopterus_albus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
CASTORCANADENSIS	castor_canadensis
CAVIAAPEREA	cavia_aperea
CAVIAPORCELLUS	cavia_porcellus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
GOPHERUSAGASSIZII	gopherus_agassizii
CALIDRISPUGNAX	calidris_pugnax
SALVATORMERIANAE	salvator_merianae
SALVATORMERIANAE	salvator_merianae
URSUSAMERICANUS	ursus_americanus
VULPESVULPES	vulpes_vulpes
FELISCATUS	felis_catus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
