MACACANEMESTRINA	macaca_nemestrina
MACACAFASCICULARIS	macaca_fascicularis
THEROPITHECUSGELADA	theropithecus_gelada
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
CASTORCANADENSIS	castor_canadensis
CHELONOIDISABINGDONII	chelonoidis_abingdonii
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
MUSPAHARI	mus_pahari
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
DIPODOMYSORDII	dipodomys_ordii
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MERIONESUNGUICULATUS	meriones_unguiculatus
MESOCRICETUSAURATUS	mesocricetus_auratus
JACULUSJACULUS	jaculus_jaculus
CASTORCANADENSIS	castor_canadensis
MUSSPICILEGUS	mus_spicilegus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
CAVIAAPEREA	cavia_aperea
OCTODONDEGUS	octodon_degus
PANTROGLODYTES	pan_troglodytes
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
SUSSCROFA	sus_scrofa
CANISLUPUSDINGO	canis_lupus_dingo
URSUSMARITIMUS	ursus_maritimus
EQUUSCABALLUS	equus_caballus
LOXODONTAAFRICANA	loxodonta_africana
VULPESVULPES	vulpes_vulpes
CANISLUPUSDINGO	canis_lupus_dingo
URSUSAMERICANUS	ursus_americanus
EQUUSASINUSASINUS	equus_asinus_asinus
AOTUSNANCYMAAE	aotus_nancymaae
SARCOPHILUSHARRISII	sarcophilus_harrisii
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
POGONAVITTICEPS	pogona_vitticeps
DANIORERIO	danio_rerio
ICTALURUSPUNCTATUS	ictalurus_punctatus
POECILIALATIPINNA	poecilia_latipinna
POECILIAFORMOSA	poecilia_formosa
POECILIAMEXICANA	poecilia_mexicana
CYPRINODONVARIEGATUS	cyprinodon_variegatus
MAYLANDIAZEBRA	maylandia_zebra
PETROMYZONMARINUS	petromyzon_marinus
