ENSEBUT00000002089ENSEBUG00000001450_EPTATRETUSBURGERI	ENSEBUT00000002089	ENSEBUG00000001450	EPTATRETUSBURGERI
FBtr0089620FBgn0003742_DROSOPHILAMELANOGASTER	FBtr0089620	FBgn0003742	DROSOPHILAMELANOGASTER
ENSCINT00000036895ENSCING00000018620_CIONAINTESTINALIS	ENSCINT00000036895	ENSCING00000018620	CIONAINTESTINALIS
C18D11.4a.1WBGene00004705_CAENORHABDITISELEGANSSTRAINN2	C18D11.4a.1	WBGene00004705	CAENORHABDITISELEGANSSTRAINN2
C18D11.4a.2WBGene00004705_CAENORHABDITISELEGANSSTRAINN2	C18D11.4a.2	WBGene00004705	CAENORHABDITISELEGANSSTRAINN2
FBtr0089618FBgn0003742_DROSOPHILAMELANOGASTER	FBtr0089618	FBgn0003742	DROSOPHILAMELANOGASTER
C18D11.4b.1WBGene00004705_CAENORHABDITISELEGANSSTRAINN2	C18D11.4b.1	WBGene00004705	CAENORHABDITISELEGANSSTRAINN2
FBtr0089621FBgn0003742_DROSOPHILAMELANOGASTER	FBtr0089621	FBgn0003742	DROSOPHILAMELANOGASTER
FBtr0089617FBgn0003742_DROSOPHILAMELANOGASTER	FBtr0089617	FBgn0003742	DROSOPHILAMELANOGASTER
FBtr0089616FBgn0003742_DROSOPHILAMELANOGASTER	FBtr0089616	FBgn0003742	DROSOPHILAMELANOGASTER
FBtr0089615FBgn0003742_DROSOPHILAMELANOGASTER	FBtr0089615	FBgn0003742	DROSOPHILAMELANOGASTER
FBtr0089619FBgn0003742_DROSOPHILAMELANOGASTER	FBtr0089619	FBgn0003742	DROSOPHILAMELANOGASTER
