H02I12.1.1WBGene00010351_CAENORHABDITISELEGANSSTRAINN2	H02I12.1.1	WBGene00010351	CAENORHABDITISELEGANSSTRAINN2
ENSCINT00000028566ENSCING00000016299_CIONAINTESTINALIS	ENSCINT00000028566	ENSCING00000016299	CIONAINTESTINALIS
FBtr0332816FBgn0264488_DROSOPHILAMELANOGASTER	FBtr0332816	FBgn0264488	DROSOPHILAMELANOGASTER
FBtr0332817FBgn0264488_DROSOPHILAMELANOGASTER	FBtr0332817	FBgn0264488	DROSOPHILAMELANOGASTER
ENSCINT00000018423ENSCING00000016289_CIONAINTESTINALIS	ENSCINT00000018423	ENSCING00000016289	CIONAINTESTINALIS
ENSCINT00000028539ENSCING00000016282_CIONAINTESTINALIS	ENSCINT00000028539	ENSCING00000016282	CIONAINTESTINALIS
ENSCINT00000010801ENSCING00000005255_CIONAINTESTINALIS	ENSCINT00000010801	ENSCING00000005255	CIONAINTESTINALIS
FBtr0301977FBgn0051077_DROSOPHILAMELANOGASTER	FBtr0301977	FBgn0051077	DROSOPHILAMELANOGASTER
FBtr0333613FBgn0035607_DROSOPHILAMELANOGASTER	FBtr0333613	FBgn0035607	DROSOPHILAMELANOGASTER
FBtr0345688FBgn0264488_DROSOPHILAMELANOGASTER	FBtr0345688	FBgn0264488	DROSOPHILAMELANOGASTER
FBtr0074860FBgn0036947_DROSOPHILAMELANOGASTER	FBtr0074860	FBgn0036947	DROSOPHILAMELANOGASTER
FBtr0076041FBgn0036226_DROSOPHILAMELANOGASTER	FBtr0076041	FBgn0036226	DROSOPHILAMELANOGASTER
FBtr0076042FBgn0036227_DROSOPHILAMELANOGASTER	FBtr0076042	FBgn0036227	DROSOPHILAMELANOGASTER
FBtr0076043FBgn0036229_DROSOPHILAMELANOGASTER	FBtr0076043	FBgn0036229	DROSOPHILAMELANOGASTER
