LEPISOSTEUSOCULATUS	lepisosteus_oculatus
CALLORHINCHUSMILII	callorhinchus_milii
CIONAINTESTINALIS	ciona_intestinalis
CIONAINTESTINALIS	ciona_intestinalis
CIONAINTESTINALIS	ciona_intestinalis
CIONAINTESTINALIS	ciona_intestinalis
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
POECILIARETICULATA	poecilia_reticulata
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
VOMBATUSURSINUS	vombatus_ursinus
