geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , TreeBestPassTest   , EnsemblTreePassTest, TreeBestBetter   , EnsemblBetter , REC_TreeBest  ,  REC_Ensembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,
ENSGT00940000169600,3,"66,67","0,469","0,501",1,1,0,1,1,0,0,1,
ENSGT00940000165548,13,"84,62","0,089","0,911",1,1,0,1,12,12,0,0,
ENSGT00940000160433,8,100,"0,99","0,01",1,0,1,0,5,5,0,0,
ENSGT00940000159954,10,90,"0,999","0,001",1,0,1,0,8,8,0,0,
ENSGT00390000014590,6,"66,67","0,603","0,397",1,1,1,0,3,3,0,0,
ENSGT00390000004040,8,"87,5","0,903","0,164",1,1,1,0,2,1,0,1,
ENSGT00940000158783,18,"55,56","0,993","0,007",1,0,1,0,15,14,0,1,
ENSGT00940000165172,8,"62,5","0,536","0,476",1,1,1,0,4,3,0,1,
ENSGT00390000001511,3,"66,67","0,477","0,496",1,1,0,1,1,0,0,1,
ENSGT00940000155294,16,"31,25","0,971","0,03",1,0,1,0,1,4,1,0,
ENSGT00940000177095,18,100,"0,832","0,177",1,1,1,0,8,9,1,0,
ENSGT00940000158387,17,"76,47","0,291","0,725",1,1,0,1,9,9,0,0,
ENSGT00950000185540,6,100,"0,562","0,6",1,1,0,1,4,3,0,1,
ENSGT00940000162882,12,"83,33","0,985","0,015",1,0,1,0,10,10,0,0,
ENSGT00940000178019,6,100,"0,57","0,555",1,1,1,0,0,1,1,0,
ENSGT00940000165652,9,100,"0,815","0,185",1,1,1,0,3,4,1,0,
ENSGT00940000164774,9,100,"0,999","0,033",1,0,1,0,6,7,1,0,
ENSGT00950000183038,3,100,0,0,0,0,0,0,2,2,0,0,
ENSGT00940000169631,8,"87,5","0,842","0,239",1,1,1,0,4,5,1,0,
ENSGT00940000164045,5,60,"0,323","0,928",1,1,0,1,3,3,0,0,
ENSGT00940000165675,5,60,"0,86","0,00004",1,0,1,0,2,1,0,1,
ENSGT00910000147974,7,100,"0,62","0,535",1,1,1,0,5,5,0,0,
ENSGT00940000158220,9,"88,89","0,017","0,983",0,1,0,1,6,7,1,0,
ENSGT00910000144335,11,100,"0,218","0,782",1,1,0,1,7,7,0,0,
ENSGT00940000158362,4,25,"0,139","0,71",1,1,0,1,1,1,0,0,
ENSGT00950000182863,6,50,"0,928","0,035",1,0,1,0,3,3,0,0,
ENSGT00950000183203,15,60,"0,764","0,236",1,1,1,0,11,11,0,0,
ENSGT00940000178120,5,100,"0,55","0,659",1,1,0,1,0,1,1,0,
ENSGT00390000010017,13,"84,62","0,149","0,852",1,1,0,1,1,2,1,0,
ENSGT00390000003628,9,100,"0,022","0,978",0,1,0,1,1,1,0,0,
ENSGT00510000048991,3,"66,67","0,488","0,653",1,1,0,1,2,2,0,0,
ENSGT00420000029792,3,"66,67","0,49","0,487",1,1,1,0,1,0,0,1,
ENSGT00940000156370,6,100,"0,617","0,631",1,1,0,1,4,4,0,0,
ENSGT00940000172014,3,100,"0,706","0,498",1,1,1,0,1,0,0,1,
