geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , TreeBestPassTest   , EnsemblTreePassTest, TreeBestBetter   , EnsemblBetter , REC_TreeBest  ,  REC_Ensembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,
ENSGT00940000169600,3,"66,67","0,439","0,521",1,1,0,1,1,0,0,1,
ENSGT00940000160433,8,100,"0,759","0,019",1,0,1,0,5,5,0,0,
ENSGT00940000159954,10,90,1,"0,0004",1,0,1,0,8,8,0,0,
ENSGT00390000014590,6,50,"0,617","0,427",1,1,1,0,3,3,0,0,
ENSGT00390000004040,8,"87,5","0,895","0,209",1,1,1,0,2,1,0,1,
ENSGT00940000158783,18,"88,89","0,997","0,003",1,0,1,0,15,14,0,1,
ENSGT00940000165172,8,"62,5","0,768","0,266",1,1,1,0,4,3,0,1,
ENSGT00390000001511,3,100,"0,424","0,505",1,1,0,1,1,0,0,1,
ENSGT00940000155294,16,50,"0,643","0,463",1,1,1,0,1,4,1,0,
ENSGT00940000177095,18,100,"0,83","0,174",1,1,1,0,8,9,1,0,
ENSGT00940000158387,17,"76,47","0,295","0,607",1,1,0,1,8,9,1,0,
ENSGT00950000185540,6,100,"0,523","0,5",1,1,1,0,4,3,0,1,
ENSGT00940000162882,12,"58,33","0,087","0,002",1,0,1,0,10,10,0,0,
ENSGT00940000178019,6,100,"0,457","0,454",1,1,1,0,0,1,1,0,
ENSGT00940000165652,9,100,"0,815","0,185",1,1,1,0,3,4,1,0,
ENSGT00940000164774,9,100,"0,998","0,032",1,0,1,0,6,7,1,0,
ENSGT00950000183038,3,"66,67",0,0,0,0,0,0,2,2,0,0,
ENSGT00940000169631,8,"87,5","0,396","0,032",1,0,1,0,4,5,1,0,
ENSGT00940000164045,5,80,"0,469","0,536",1,1,0,1,3,3,0,0,
ENSGT00910000147974,7,100,"0,622","0,531",1,1,1,0,5,5,0,0,
ENSGT00940000158220,9,100,"0,013","0,993",0,1,0,1,6,7,1,0,
ENSGT00910000144335,11,100,"0,223","0,777",1,1,0,1,7,7,0,0,
ENSGT00940000158362,4,75,"0,081","0,663",1,1,0,1,1,1,0,0,
ENSGT00950000182863,6,50,"0,927","0,033",1,0,1,0,3,3,0,0,
ENSGT00950000183203,15,"46,67","0,955","0,045",1,0,1,0,11,11,0,0,
ENSGT00940000178120,5,100,"0,466","0,477",1,1,0,1,0,1,1,0,
ENSGT00390000010017,13,"76,92","0,178","0,822",1,1,0,1,2,2,0,0,
ENSGT00390000003628,9,"77,78","0,019","0,988",0,1,0,1,1,1,0,0,
ENSGT00510000048991,3,"66,67","0,482","0,644",1,1,0,1,2,2,0,0,
ENSGT00420000029792,3,100,"0,457","0,494",1,1,0,1,1,0,0,1,
ENSGT00940000156370,6,100,"0,598","0,619",1,1,0,1,4,4,0,0,
ENSGT00940000172014,3,100,"0,469","0,52",1,1,0,1,1,0,0,1,
ENSGT00940000161512,6,100,"0,845","0,235",1,1,1,0,2,2,0,0,
ENSGT00940000167505,5,80,"0,496","0,503",1,1,0,1,2,0,0,1,
ENSGT00390000008744,16,"68,75","0,36","0,64",1,1,0,1,1,3,1,0,
ENSGT00940000156549,8,100,"0,11","0,899",1,1,0,1,4,5,1,0,
ENSGT00390000006227,8,75,"0,648","0,455",1,1,1,0,5,5,0,0,
ENSGT00940000153472,9,100,"0,958","0,121",1,1,1,0,4,2,0,1,
ENSGT00940000158027,8,"62,5","0,349","0,345",1,1,1,0,6,6,0,0,
ENSGT00910000147528,7,100,"0,684","0,538",1,1,1,0,5,5,0,0,
ENSGT00950000183248,6,100,"0,77","0,42",1,1,1,0,1,1,0,0,
ENSGT00940000157805,7,"71,43","0,542","0,487",1,1,1,0,5,5,0,0,
ENSGT00940000159007,6,100,"0,675","0,161",1,1,1,0,2,2,0,0,
ENSGT00390000007890,6,"83,33","0,504","0,497",1,1,1,0,3,3,0,0,
ENSGT00940000158046,15,80,"0,501","0,501",1,1,0,0,0,3,1,0,
ENSGT00940000162075,15,100,"0,984","0,016",1,0,1,0,2,4,1,0,
ENSGT00940000160970,4,75,"0,504","0,461",1,1,1,0,1,1,0,0,
ENSGT00940000174692,11,100,"0,501","0,622",1,1,0,1,2,3,1,0,
ENSGT00940000171677,5,80,"0,397","0,548",1,1,0,1,2,1,0,1,
ENSGT00940000166658,16,75,"0,396","0,672",1,1,0,1,3,4,1,0,
ENSGT00910000146899,10,80,1,"0,0002",1,0,1,0,8,7,0,1,
ENSGT00940000178224,4,100,"0,486","0,485",1,1,1,0,1,2,1,0,
ENSGT00940000157459,19,"84,21","0,925","0,075",1,1,1,0,16,16,0,0,
ENSGT00390000010512,10,80,"0,053","0,969",1,1,0,1,6,5,0,1,
ENSGT00900000143393,17,100,"0,814","0,186",1,1,1,0,4,4,0,0,
ENSGT00940000159129,8,"87,5","0,00003",5E-10,0,0,1,0,5,4,0,1,
ENSGT00390000003308,6,"33,33","0,697","0,325",1,1,1,0,4,4,0,0,
ENSGT00940000155347,7,"28,57","0,67","0,492",1,1,1,0,4,3,0,1,
ENSGT00940000167924,8,100,"0,481","0,498",1,1,0,1,0,2,1,0,
ENSGT00720000108834,11,"63,64","0,416","0,597",1,1,0,1,4,4,0,0,
ENSGT00940000164532,14,"71,43",1,8E-58,1,0,1,0,10,10,0,0,
ENSGT00690000103118,14,100,"0,752","0,248",1,1,1,0,0,2,1,0,
ENSGT00940000154956,19,"78,95","0,283","0,002",1,0,1,0,15,16,1,0,
ENSGT00940000163213,12,"91,67","0,518","0,482",1,1,1,0,10,10,0,0,
ENSGT00950000183312,11,100,"0,725","0,275",1,1,1,0,8,9,1,0,
ENSGT00940000178277,4,100,"0,477","0,506",1,1,0,1,2,2,0,0,
ENSGT00940000169756,3,"66,67","0,507","0,465",1,1,1,0,2,2,0,0,
ENSGT00390000003337,10,60,"0,625","0,129",1,1,1,0,6,4,0,1,
ENSGT00940000156022,3,"66,67","0,469","0,477",1,1,0,1,1,1,0,0,
ENSGT00940000161450,15,40,"0,777","0,243",1,1,1,0,1,3,1,0,
ENSGT00940000160474,17,"94,12","0,225","0,811",1,1,0,1,3,6,1,0,
ENSGT00940000178375,3,100,"0,563","0,488",1,1,1,0,2,2,0,0,
ENSGT00940000178042,9,"55,56","0,804","0,196",1,1,1,0,1,2,1,0,
ENSGT00960000186606,7,"57,14","0,135","0,864",1,1,0,1,0,1,1,0,
ENSGT00940000163885,13,"69,23","0,623","0,377",1,1,1,0,11,10,0,1,
ENSGT00940000166522,9,"33,33","0,454","0,498",1,1,0,1,1,2,1,0,
ENSGT00530000063255,4,75,"0,46","0,503",1,1,0,1,3,3,0,0,
ENSGT00940000177785,5,100,"0,206","0,557",1,1,0,1,0,1,1,0,
ENSGT00940000177296,3,100,"0,502","0,462",1,1,1,0,1,1,0,0,
ENSGT00940000177143,3,100,0,0,0,0,0,0,2,2,0,0,
ENSGT00910000146517,7,100,"0,036","0,964",0,1,0,1,5,5,0,0,
ENSGT00940000178325,6,100,"0,636","0,519",1,1,1,0,0,1,1,0,
ENSGT00940000167576,6,50,"0,263","0,848",1,1,0,1,3,3,0,0,
ENSGT00390000008931,10,80,"0,516","0,643",1,1,0,1,8,8,0,0,
ENSGT00390000016470,11,"63,64","0,602","0,405",1,1,1,0,9,9,0,0,
ENSGT00940000167355,6,"66,67","0,067","0,63",1,1,0,1,3,4,1,0,
ENSGT00940000178526,13,100,"0,018","0,984",0,1,0,1,7,8,1,0,
ENSGT00940000159656,7,"85,71","0,955","0,091",1,1,1,0,4,5,1,0,
ENSGT00860000135092,17,"88,24","0,507","0,494",1,1,1,0,0,2,1,0,
ENSGT00940000155474,14,"85,71",2E-10,"0,991",0,1,0,1,2,4,1,0,
ENSGT00940000178658,3,100,"0,519","0,469",1,1,1,0,0,1,1,0,
ENSGT00940000168285,3,100,"0,481","0,512",1,1,0,1,1,0,0,1,
ENSGT00640000091497,4,75,"0,48","0,472",1,1,1,0,1,0,0,1,
ENSGT00390000003246,4,75,"0,502","0,46",1,1,1,0,1,0,0,1,
ENSGT00940000156489,7,"71,43","0,982","0,02",1,0,1,0,2,3,1,0,
ENSGT00940000176078,13,100,"0,375","0,629",1,1,0,1,4,2,0,1,
ENSGT00940000163053,9,"55,56","0,127","0,185",1,1,0,1,5,4,0,1,
ENSGT00940000167593,8,100,0,0,0,0,0,0,5,0,0,1,
ENSGT00390000012605,10,80,"0,511","0,528",1,1,0,1,7,7,0,0,
ENSGT00940000167230,5,40,"0,533","0,516",1,1,1,0,3,2,0,1,
ENSGT00950000183132,25,96,"0,995","0,017",1,0,1,0,7,9,1,0,
ENSGT00940000168688,7,100,"0,12","0,886",1,1,0,1,1,1,0,0,
ENSGT00530000063787,10,100,"0,168","0,167",1,1,1,0,8,8,0,0,
,,"81,9277669903","0,5064663107","0,4204135922",94,85,58,41,"3,8737864078","4,0388349515",35,24,44
,,"16,0442831558","0,2232741182","0,2247950231","91,2621359223","82,5242718447","58,5858585859","41,4141414141","2,6116504854","2,5707617625","33,9805825243","23,3009708738","42,7184466019"
