scleropages_formosus ENSSFOG00015002406
paramormyrops_kingsleyae ENSPKIG00000021093
cynoglossus_semilaevis ENSCSEG00000003988
periophthalmus_magnuspinnatus ENSPMGG00000010777
hippocampus_comes ENSHCOG00000004476
hippocampus_comes ENSHCOG00000004466
neolamprologus_brichardi ENSNBRG00000005653
neolamprologus_brichardi ENSNBRG00000005648
amphilophus_citrinellus ENSACIG00000022386
tetraodon_nigroviridis ENSTNIG00000019639
poecilia_mexicana ENSPMEG00000007383
poecilia_formosa ENSPFOG00000014095
poecilia_latipinna ENSPLAG00000012572
poecilia_reticulata ENSPREG00000022593
xiphophorus_maculatus ENSXMAG00000011920
gambusia_affinis ENSGAFG00000021278
xiphophorus_couchianus ENSXCOG00000018886
fundulus_heteroclitus ENSFHEG00000000346
cyprinodon_variegatus ENSCVAG00000014465
kryptolebias_marmoratus ENSKMAG00000022118
oryzias_latipes ENSORLG00020022525
oryzias_latipes_asm223469v1 ENSORLG00015021087
oryzias_latipes ENSORLG00000008988
oryzias_melastigma ENSOMEG00000019206
amphiprion_ocellaris ENSAOCG00000019862
maylandia_zebra ENSMZEG00005022275
pundamilia_nyererei ENSPNYG00000018671
astatotilapia_calliptera ENSACLG00000003184
haplochromis_burtoni ENSHBUG00000023173
oreochromis_niloticus ENSONIG00000014281
amphilophus_citrinellus ENSACIG00000022393
amphiprion_percula ENSAPEG00000007982
amphiprion_ocellaris ENSAOCG00000010118
acanthochromis_polyacanthus ENSAPOG00000007823
stegastes_partitus ENSSPAG00000005896
labrus_bergylta ENSLBEG00000001000
seriola_dumerili ENSSDUG00000005541
seriola_lalandi_dorsalis ENSSLDG00000019172
scophthalmus_maximus ENSSMAG00000019208
anabas_testudineus ENSATEG00000010343
takifugu_rubripes ENSTRUG00000011476
mola_mola ENSMMOG00000019904
gasterosteus_aculeatus ENSGACG00000003344
mastacembelus_armatus ENSMAMG00000015749
monopterus_albus ENSMALG00000006498
gadus_morhua ENSGMOG00000003889
esox_lucius ENSELUG00000018548
pygocentrus_nattereri ENSPNAG00000007796
astyanax_mexicanus ENSAMXG00000029291
ictalurus_punctatus ENSIPUG00000023845
danio_rerio ENSDARG00000062135
lepisosteus_oculatus ENSLOCG00000007874
manacus_vitellinus ENSMVIG00005013605
lepidothrix_coronata ENSLCOG00000003637
taeniopygia_guttata ENSTGUG00000006759
lonchura_striata_domestica ENSLSDG00000006836
zonotrichia_albicollis ENSZALG00000018200
junco_hyemalis ENSJHYG00000012482
serinus_canaria ENSSCAG00000011582
ficedula_albicollis ENSFALG00000001593
parus_major ENSPMJG00000011112
cyanistes_caeruleus ENSCCEG00000012791
calidris_pygmaea ENSCPGG00000015763
calidris_pugnax ENSCPUG00000018597
melopsittacus_undulatus ENSMUNG00000009665
anser_brachyrhynchus ENSABRG00000009499
