cebus_capucinus ENSCCAG00000020001
callithrix_jacchus ENSCJAG00000045870
saimiri_boliviensis_boliviensis ENSSBOG00000017747
aotus_nancymaae ENSANAG00000019708
mandrillus_leucophaeus ENSMLEG00000009357
papio_anubis ENSPANG00000032061
theropithecus_gelada ENSTGEG00000011861
cercocebus_atys ENSCATG00000020302
macaca_nemestrina ENSMNEG00000003405
macaca_fascicularis ENSMFAG00000029041
rhinopithecus_bieti ENSRBIG00000019564
rhinopithecus_bieti ENSRBIG00000044898
rhinopithecus_roxellana ENSRROG00000000261
piliocolobus_tephrosceles ENSPTEG00000020748
pan_troglodytes ENSPTRG00000042907
pan_troglodytes ENSPTRG00000046201
gorilla_gorilla ENSGGOG00000040298
cricetulus_griseus_crigri-picr ENSCGRG00015006876
peromyscus_maniculatus_bairdii ENSPEMG00000025112
mus_spicilegus ENSMSIG00000024411
sus_scrofa ENSSSCG00000039374
