bos_mutus ENSBMUG00000010270
bos_taurus ENSBTAG00000051989
bison_bison_bison ENSBBBG00000013488
capra_hircus ENSCHIG00000009872
tursiops_truncatus ENSTTRG00000012077
sus_scrofa ENSSSCG00000033819
equus_asinus_asinus ENSEASG00005015324
equus_caballus ENSECAG00000035043
pteropus_vampyrus ENSPVAG00000002402
homo_sapiens ENSG00000256806
gorilla_gorilla ENSGGOG00000003059
rhinopithecus_bieti ENSRBIG00000025205
rhinopithecus_roxellana ENSRROG00000027393
piliocolobus_tephrosceles ENSPTEG00000018632
macaca_nemestrina ENSMNEG00000034344
macaca_fascicularis ENSMFAG00000045022
cercocebus_atys ENSCATG00000030329
papio_anubis ENSPANG00000013054
mandrillus_leucophaeus ENSMLEG00000042642
theropithecus_gelada ENSTGEG00000021716
nomascus_leucogenys ENSNLEG00000035117
macaca_mulatta ENSMMUG00000039682
cebus_capucinus ENSCCAG00000020988
carlito_syrichta ENSTSYG00000010986
propithecus_coquereli ENSPCOG00000026826
prolemur_simus ENSPSMG00000015878
microcebus_murinus ENSMICG00000034739
mus_spicilegus ENSMSIG00000013951
rattus_norvegicus ENSRNOG00000014865
meriones_unguiculatus ENSMUGG00000011120
peromyscus_maniculatus_bairdii ENSPEMG00000014863
microtus_ochrogaster ENSMOCG00000003285
cricetulus_griseus_chok1gshd ENSCGRG00001019546
cricetulus_griseus_crigri-picr ENSCGRG00015002247
mesocricetus_auratus ENSMAUG00000009173
spermophilus_dauricus ENSSDAG00000002487
urocitellus_parryii ENSUPAG00010019604
marmota_marmota_marmota ENSMMMG00000018835
dasypus_novemcinctus ENSDNOG00000048162
loxodonta_africana ENSLAFG00000030735
