poecilia_latipinna ENSPLAG00000006695
poecilia_mexicana ENSPMEG00000017484
poecilia_formosa ENSPFOG00000016102
poecilia_reticulata ENSPREG00000009504
xiphophorus_maculatus ENSXMAG00000012678
xiphophorus_couchianus ENSXCOG00000002633
gambusia_affinis ENSGAFG00000016186
fundulus_heteroclitus ENSFHEG00000012303
kryptolebias_marmoratus ENSKMAG00000005012
oryzias_latipes ENSORLG00020006294
oryzias_latipes_asm223469v1 ENSORLG00015020497
oryzias_melastigma ENSOMEG00000016653
cyprinodon_variegatus ENSCVAG00000002008
oryzias_latipes ENSORLG00000030631
tetraodon_nigroviridis ENSTNIG00000003487
tetraodon_nigroviridis ENSTNIG00000004195
takifugu_rubripes ENSTRUG00000008191
mola_mola ENSMMOG00000015143
gasterosteus_aculeatus ENSGACG00000004938
stegastes_partitus ENSSPAG00000008119
monopterus_albus ENSMALG00000007967
mastacembelus_armatus ENSMAMG00000013617
anabas_testudineus ENSATEG00000004649
scophthalmus_maximus ENSSMAG00000007598
cynoglossus_semilaevis ENSCSEG00000004953
seriola_dumerili ENSSDUG00000002490
seriola_lalandi_dorsalis ENSSLDG00000010118
hippocampus_comes ENSHCOG00000003934
amphiprion_percula ENSAPEG00000008738
amphiprion_ocellaris ENSAOCG00000020595
acanthochromis_polyacanthus ENSAPOG00000013235
maylandia_zebra ENSMZEG00005028483
astatotilapia_calliptera ENSACLG00000015116
pundamilia_nyererei ENSPNYG00000014485
haplochromis_burtoni ENSHBUG00000013206
neolamprologus_brichardi ENSNBRG00000020009
oreochromis_niloticus ENSONIG00000009252
amphilophus_citrinellus ENSACIG00000014685
labrus_bergylta ENSLBEG00000013800
periophthalmus_magnuspinnatus ENSPMGG00000013653
gadus_morhua ENSGMOG00000015966
esox_lucius ENSELUG00000014805
pygocentrus_nattereri ENSPNAG00000015478
astyanax_mexicanus ENSAMXG00000012228
ictalurus_punctatus ENSIPUG00000010855
danio_rerio ENSDARG00000031046
scleropages_formosus ENSSFOG00015007836
paramormyrops_kingsleyae ENSPKIG00000009094
