poecilia_latipinna ENSPLAG00000013491
poecilia_formosa ENSPFOG00000024681
poecilia_reticulata ENSPREG00000020620
xiphophorus_maculatus ENSXMAG00000022459
xiphophorus_couchianus ENSXCOG00000015227
gambusia_affinis ENSGAFG00000005581
fundulus_heteroclitus ENSFHEG00000010632
stegastes_partitus ENSSPAG00000014578
scophthalmus_maximus ENSSMAG00000001727
anabas_testudineus ENSATEG00000017952
periophthalmus_magnuspinnatus ENSPMGG00000024030
astyanax_mexicanus ENSAMXG00000025981
lepisosteus_oculatus ENSLOCG00000017987
latimeria_chalumnae ENSLACG00000003562
