mola_mola ENSMMOG00000008257
takifugu_rubripes ENSTRUG00000020861
labrus_bergylta ENSLBEG00000028809
amphiprion_percula ENSAPEG00000022070
amphiprion_ocellaris ENSAOCG00000020946
acanthochromis_polyacanthus ENSAPOG00000022942
stegastes_partitus ENSSPAG00000017743
astatotilapia_calliptera ENSACLG00000010957
haplochromis_burtoni ENSHBUG00000014198
maylandia_zebra ENSMZEG00005023825
pundamilia_nyererei ENSPNYG00000015577
neolamprologus_brichardi ENSNBRG00000017710
oreochromis_niloticus ENSONIG00000008809
amphilophus_citrinellus ENSACIG00000001122
fundulus_heteroclitus ENSFHEG00000003952
cyprinodon_variegatus ENSCVAG00000023438
poecilia_formosa ENSPFOG00000015164
poecilia_mexicana ENSPMEG00000018857
poecilia_latipinna ENSPLAG00000010836
poecilia_reticulata ENSPREG00000011864
xiphophorus_maculatus ENSXMAG00000022359
xiphophorus_couchianus ENSXCOG00000013672
gambusia_affinis ENSGAFG00000006435
kryptolebias_marmoratus ENSKMAG00000021957
oryzias_latipes ENSORLG00000027626
oryzias_latipes ENSORLG00020008625
oryzias_latipes_asm223469v1 ENSORLG00015006638
oryzias_melastigma ENSOMEG00000000377
seriola_dumerili ENSSDUG00000004042
seriola_lalandi_dorsalis ENSSLDG00000024231
scophthalmus_maximus ENSSMAG00000013272
anabas_testudineus ENSATEG00000021675
mastacembelus_armatus ENSMAMG00000004786
cynoglossus_semilaevis ENSCSEG00000006537
hippocampus_comes ENSHCOG00000015416
periophthalmus_magnuspinnatus ENSPMGG00000016983
esox_lucius ENSELUG00000009805
pygocentrus_nattereri ENSPNAG00000001013
astyanax_mexicanus ENSAMXG00000033109
ictalurus_punctatus ENSIPUG00000003212
danio_rerio ENSDARG00000070320
scleropages_formosus ENSSFOG00015008063
paramormyrops_kingsleyae ENSPKIG00000013937
lepisosteus_oculatus ENSLOCG00000014034
anolis_carolinensis ENSACAG00000025128
pogona_vitticeps ENSPVIG00000003167
notechis_scutatus ENSNSUG00000004124
salvator_merianae ENSSMRG00000005244
sphenodon_punctatus ENSSPUG00000017699
anser_brachyrhynchus ENSABRG00000000099
anas_platyrhynchos_platyrhynchos ENSAPLG00000022105
gallus_gallus ENSGALG00000026176
coturnix_japonica ENSCJPG00005010674
numida_meleagris ENSNMEG00000011045
lepidothrix_coronata ENSLCOG00000001015
manacus_vitellinus ENSMVIG00005011484
zonotrichia_albicollis ENSZALG00000014562
junco_hyemalis ENSJHYG00000007762
parus_major ENSPMJG00000006303
lonchura_striata_domestica ENSLSDG00000008150
calidris_pugnax ENSCPUG00000011705
calidris_pygmaea ENSCPGG00000018471
melopsittacus_undulatus ENSMUNG00000006556
nothoprocta_perdicaria ENSNPEG00000005946
apteryx_owenii ENSAOWG00000003678
apteryx_haastii ENSAHAG00000013586
apteryx_rowi ENSARWG00000016098
dromaius_novaehollandiae ENSDNVG00000011269
ficedula_albicollis ENSFALG00000003662
cyanistes_caeruleus ENSCCEG00000005343
serinus_canaria ENSSCAG00000008899
crocodylus_porosus ENSCPRG00005010433
gopherus_agassizii ENSGAGG00000002625
chelonoidis_abingdonii ENSCABG00000016512
chrysemys_picta_bellii ENSCPBG00000025084
pelodiscus_sinensis ENSPSIG00000011969
phascolarctos_cinereus ENSPCIG00000000350
sarcophilus_harrisii ENSSHAG00000009877
monodelphis_domestica ENSMODG00000029248
ursus_americanus ENSUAMG00000006335
ursus_maritimus ENSUMAG00000006777
ailuropoda_melanoleuca ENSAMEG00000008259
neovison_vison ENSNVIG00000014460
mustela_putorius_furo ENSMPUG00000005069
canis_lupus_dingo ENSCAFG00020027541
canis_lupus_familiaris ENSCAFG00000031519
vulpes_vulpes ENSVVUG00000006172
panthera_pardus ENSPPRG00000007673
panthera_tigris_altaica ENSPTIG00000008693
felis_catus ENSFCAG00000034057
equus_caballus ENSECAG00000035811
equus_asinus_asinus ENSEASG00005018850
myotis_lucifugus ENSMLUG00000022227
bos_mutus ENSBMUG00000007377
bos_taurus ENSBTAG00000045602
bison_bison_bison ENSBBBG00000019666
ovis_aries ENSOARG00000002031
capra_hircus ENSCHIG00000009195
sus_scrofa ENSSSCG00000022882
sorex_araneus ENSSARG00000014465
sorex_araneus ENSSARG00000005746
erinaceus_europaeus ENSEEUG00000001541
pan_troglodytes ENSPTRG00000046040
pan_paniscus ENSPPAG00000028553
homo_sapiens ENSG00000250821
gorilla_gorilla ENSGGOG00000038477
pongo_abelii ENSPPYG00000014759
nomascus_leucogenys ENSNLEG00000032675
rhinopithecus_roxellana ENSRROG00000036282
rhinopithecus_bieti ENSRBIG00000027915
piliocolobus_tephrosceles ENSPTEG00000027918
colobus_angolensis_palliatus ENSCANG00000042127
macaca_nemestrina ENSMNEG00000036784
macaca_mulatta ENSMMUG00000039297
macaca_fascicularis ENSMFAG00000042219
papio_anubis ENSPANG00000007652
mandrillus_leucophaeus ENSMLEG00000012366
cercocebus_atys ENSCATG00000029322
theropithecus_gelada ENSTGEG00000022232
saimiri_boliviensis_boliviensis ENSSBOG00000023113
cebus_capucinus ENSCCAG00000029016
callithrix_jacchus ENSCJAG00000043581
aotus_nancymaae ENSANAG00000037409
