pelodiscus_sinensis ENSPSIG00000007161
monodelphis_domestica ENSMODG00000010906
pygocentrus_nattereri ENSPNAG00000027276
ictalurus_punctatus ENSIPUG00000020963
danio_rerio ENSDARG00000104072
denticeps_clupeoides ENSDCDG00000017600
hucho_hucho ENSHHUG00000020602
scleropages_formosus ENSSFOG00015010322
paramormyrops_kingsleyae ENSPKIG00000014051
lepisosteus_oculatus ENSLOCG00000005508
larimichthys_crocea ENSLCRG00005011760
labrus_bergylta ENSLBEG00000015375
anabas_testudineus ENSATEG00000022053
kryptolebias_marmoratus ENSKMAG00000002174
tetraodon_nigroviridis ENSTNIG00000002760
betta_splendens ENSBSLG00000016631
fundulus_heteroclitus ENSFHEG00000020922
cyprinodon_variegatus ENSCVAG00000020776
poecilia_mexicana ENSPMEG00000021919
poecilia_latipinna ENSPLAG00000019023
poecilia_reticulata ENSPREG00000008753
xiphophorus_couchianus ENSXCOG00000002083
xiphophorus_maculatus ENSXMAG00000027747
gambusia_affinis ENSGAFG00000014875
oryzias_latipes ENSORLG00015015514
oryzias_latipes ENSORLG00000019439
oryzias_melastigma ENSOMEG00000022761
mastacembelus_armatus ENSMAMG00000014633
monopterus_albus ENSMALG00000016259
mola_mola ENSMMOG00000013176
seriola_dumerili ENSSDUG00000002152
seriola_lalandi ENSSLDG00000016898
scophthalmus_maximus ENSSMAG00000011080
pundamilia_nyererei ENSPNYG00000000637
maylandia_zebra ENSMZEG00005007046
astatotilapia_calliptera ENSACLG00000002563
neolamprologus_brichardi ENSNBRG00000005107
amphilophus_citrinellus ENSACIG00000007801
gouania_willdenowi ENSGWIG00000021590
amphiprion_ocellaris ENSAOCG00000019009
amphiprion_percula ENSAPEG00000005826
acanthochromis_polyacanthus ENSAPOG00000010445
stegastes_partitus ENSSPAG00000020784
lates_calcarifer ENSLCAG00010015741
cynoglossus_semilaevis ENSCSEG00000004447
hippocampus_comes ENSHCOG00000014028
takifugu_rubripes ENSTRUG00000025131
periophthalmus_magnuspinnatus ENSPMGG00000023352
esox_lucius ENSELUG00000008920
astyanax_mexicanus ENSAMXG00000043996
calidris_pygmaea ENSCPGG00000008077
coturnix_japonica ENSCJPG00005006448
serinus_canaria ENSSCAG00000003072
phascolarctos_cinereus ENSPCIG00000026133
callorhinchus_milii ENSCMIG00000006687
zonotrichia_albicollis ENSZALG00000012225
taeniopygia_guttata ENSTGUG00000002385
ficedula_albicollis ENSFALG00000010072
anser_brachyrhynchus ENSABRG00000018999
anas_platyrhynchos ENSAPLG00000010669
meleagris_gallopavo ENSMGAG00000006226
salvator_merianae ENSSMRG00000015775
anolis_carolinensis ENSACAG00000013507
chelonoidis_abingdonii ENSCABG00000017244
gopherus_agassizii ENSGAGG00000025183
crocodylus_porosus ENSCPRG00005014558
xenopus_tropicalis ENSXETG00000021348
junco_hyemalis ENSJHYG00000004315
piliocolobus_tephrosceles ENSPTEG00000002274
piliocolobus_tephrosceles ENSPTEG00000002344
latimeria_chalumnae ENSLACG00000007026
eptatretus_burgeri ENSEBUG00000001908
