meleagris_gallopavo ENSMGAG00000011484
coturnix_japonica ENSCJPG00005005020
gallus_gallus ENSGALG00000033709
numida_meleagris ENSNMEG00000007633
anser_brachyrhynchus ENSABRG00000012435
anas_platyrhynchos ENSAPLG00000002921
calidris_pugnax ENSCPUG00000002593
calidris_pygmaea ENSCPGG00000005253
melopsittacus_undulatus ENSMUNG00000004357
lepidothrix_coronata ENSLCOG00000008150
manacus_vitellinus ENSMVIG00005002131
parus_major ENSPMJG00000012909
cyanistes_caeruleus ENSCCEG00000011759
ficedula_albicollis ENSFALG00000010866
taeniopygia_guttata ENSTGUG00000008539
lonchura_striata ENSLSDG00000016567
serinus_canaria ENSSCAG00000007065
zonotrichia_albicollis ENSZALG00000010489
junco_hyemalis ENSJHYG00000011918
apteryx_haastii ENSAHAG00000018204
apteryx_owenii ENSAOWG00000007139
apteryx_rowi ENSARWG00000011955
dromaius_novaehollandiae ENSDNVG00000011270
nothoprocta_perdicaria ENSNPEG00000007590
crocodylus_porosus ENSCPRG00005019109
chelonoidis_abingdonii ENSCABG00000004357
gopherus_agassizii ENSGAGG00000002878
chrysemys_picta ENSCPBG00000002061
pelodiscus_sinensis ENSPSIG00000014721
pogona_vitticeps ENSPVIG00000023803
anolis_carolinensis ENSACAG00000013672
notechis_scutatus ENSNSUG00000017050
salvator_merianae ENSSMRG00000011347
sphenodon_punctatus ENSSPUG00000014463
choloepus_hoffmanni ENSCHOG00000010705
dasypus_novemcinctus ENSDNOG00000001969
castor_canadensis ENSCCNG00000023156
dipodomys_ordii ENSDORG00000001735
mus_spicilegus ENSMSIG00000006122
mus_musculus ENSMUSG00000015889
mus_spretus MGP_SPRETEiJ_G0016549
mus_caroli MGP_CAROLIEiJ_G0015731
mus_pahari MGP_PahariEiJ_G0031354
rattus_norvegicus ENSRNOG00000004494
meriones_unguiculatus ENSMUGG00000017450
cricetulus_griseus ENSCGRG00000006243
cricetulus_griseus ENSCGRG00001010777
cricetulus_griseus ENSCGRG00015020222
mesocricetus_auratus ENSMAUG00000001152
microtus_ochrogaster ENSMOCG00000007811
peromyscus_maniculatus ENSPEMG00000024211
nannospalax_galili ENSNGAG00000015495
jaculus_jaculus ENSJJAG00000011318
chinchilla_lanigera ENSCLAG00000011828
octodon_degus ENSODEG00000010622
cavia_porcellus ENSCPOG00000013048
cavia_aperea ENSCAPG00000017570
heterocephalus_glaber ENSHGLG00100012590
heterocephalus_glaber ENSHGLG00000016903
fukomys_damarensis ENSFDAG00000014669
spermophilus_dauricus ENSSDAG00000004806
urocitellus_parryii ENSUPAG00010006436
ictidomys_tridecemlineatus ENSSTOG00000010487
marmota_marmota ENSMMMG00000020008
oryctolagus_cuniculus ENSOCUG00000005535
ochotona_princeps ENSOPRG00000011741
tupaia_belangeri ENSTBEG00000015394
propithecus_coquereli ENSPCOG00000016371
microcebus_murinus ENSMICG00000012198
prolemur_simus ENSPSMG00000005537
otolemur_garnettii ENSOGAG00000014336
pan_troglodytes ENSPTRG00000005321
pan_paniscus ENSPPAG00000010533
homo_sapiens ENSG00000111144
gorilla_gorilla ENSGGOG00000006881
pongo_abelii ENSPPYG00000004851
nomascus_leucogenys ENSNLEG00000005897
colobus_angolensis ENSCANG00000031015
piliocolobus_tephrosceles ENSPTEG00000002026
rhinopithecus_roxellana ENSRROG00000039183
rhinopithecus_bieti ENSRBIG00000041127
theropithecus_gelada ENSTGEG00000003236
papio_anubis ENSPANG00000010987
mandrillus_leucophaeus ENSMLEG00000038868
cercocebus_atys ENSCATG00000043659
macaca_nemestrina ENSMNEG00000033752
macaca_fascicularis ENSMFAG00000000948
macaca_mulatta ENSMMUG00000009312
chlorocebus_sabaeus ENSCSAG00000003579
saimiri_boliviensis ENSSBOG00000032578
cebus_capucinus ENSCCAG00000000096
callithrix_jacchus ENSCJAG00000002595
aotus_nancymaae ENSANAG00000019571
vicugna_pacos ENSVPAG00000008716
sus_scrofa ENSSSCG00000000891
capra_hircus ENSCHIG00000017470
ovis_aries ENSOARG00000012264
bos_indicus ENSBIXG00005017506
bos_indicus ENSBIXG00000005886
bos_taurus ENSBTAG00000016415
bos_mutus ENSBMUG00000018822
bison_bison ENSBBBG00000023666
tursiops_truncatus ENSTTRG00000006074
equus_asinus ENSEASG00005019525
equus_caballus ENSECAG00000008767
pteropus_vampyrus ENSPVAG00000009040
myotis_lucifugus ENSMLUG00000013624
ursus_maritimus ENSUMAG00000004113
ursus_americanus ENSUAMG00000008013
ailuropoda_melanoleuca ENSAMEG00000002029
neovison_vison ENSNVIG00000007918
mustela_putorius ENSMPUG00000007076
canis_lupus ENSCAFG00020023272
canis_lupus ENSCAFG00000006440
vulpes_vulpes ENSVVUG00000018982
panthera_pardus ENSPPRG00000001567
panthera_tigris ENSPTIG00000014149
felis_catus ENSFCAG00000018521
sorex_araneus ENSSARG00000001882
erinaceus_europaeus ENSEEUG00000001306
loxodonta_africana ENSLAFG00000009821
procavia_capensis ENSPCAG00000004177
echinops_telfairi ENSETEG00000003628
carlito_syrichta ENSTSYG00000014437
phascolarctos_cinereus ENSPCIG00000027131
vombatus_ursinus ENSVURG00010024166
notamacropus_eugenii ENSMEUG00000011341
sarcophilus_harrisii ENSSHAG00000012983
monodelphis_domestica ENSMODG00000007997
ornithorhynchus_anatinus ENSOANG00000006608
xenopus_tropicalis ENSXETG00000003177
latimeria_chalumnae ENSLACG00000016674
clupea_harengus ENSCHAG00000001018
denticeps_clupeoides ENSDCDG00000035506
astyanax_mexicanus ENSAMXG00005000293
astyanax_mexicanus ENSAMXG00000003938
pygocentrus_nattereri ENSPNAG00000020638
ictalurus_punctatus ENSIPUG00000014626
electrophorus_electricus ENSEEEG00000009489
danio_rerio ENSDARG00000006029
oryzias_latipes ENSORLG00020003300
oryzias_latipes ENSORLG00015002376
oryzias_latipes ENSORLG00000020578
oryzias_melastigma ENSOMEG00000020722
parambassis_ranga ENSPRNG00000016126
cyprinodon_variegatus ENSCVAG00000020551
fundulus_heteroclitus ENSFHEG00000009526
xiphophorus_maculatus ENSXMAG00000002884
xiphophorus_couchianus ENSXCOG00000011934
gambusia_affinis ENSGAFG00000004342
poecilia_formosa ENSPFOG00000003453
poecilia_latipinna ENSPLAG00000017604
poecilia_mexicana ENSPMEG00000006111
poecilia_reticulata ENSPREG00000018388
kryptolebias_marmoratus ENSKMAG00000008728
amphiprion_ocellaris ENSAOCG00000023250
amphiprion_percula ENSAPEG00000024559
acanthochromis_polyacanthus ENSAPOG00000001326
stegastes_partitus ENSSPAG00000014533
haplochromis_burtoni ENSHBUG00000008685
pundamilia_nyererei ENSPNYG00000001536
maylandia_zebra ENSMZEG00005014990
astatotilapia_calliptera ENSACLG00000005775
neolamprologus_brichardi ENSNBRG00000018778
oreochromis_niloticus ENSONIG00000007586
oreochromis_niloticus ENSONIG00000017675
amphilophus_citrinellus ENSACIG00000005748
monopterus_albus ENSMALG00000001149
mastacembelus_armatus ENSMAMG00000021165
anabas_testudineus ENSATEG00000002930
betta_splendens ENSBSLG00000007403
lates_calcarifer ENSLCAG00010010687
scophthalmus_maximus ENSSMAG00000011295
cottoperca_gobio ENSCGOG00000012075
gasterosteus_aculeatus ENSGACG00000000675
labrus_bergylta ENSLBEG00000026632
tetraodon_nigroviridis ENSTNIG00000003351
tetraodon_nigroviridis ENSTNIG00000000836
takifugu_rubripes ENSTRUG00000010305
mola_mola ENSMMOG00000005903
larimichthys_crocea ENSLCRG00005004550
gouania_willdenowi ENSGWIG00000023532
cynoglossus_semilaevis ENSCSEG00000006012
hippocampus_comes ENSHCOG00000006998
periophthalmus_magnuspinnatus ENSPMGG00000011705
gadus_morhua ENSGMOG00000017711
hucho_hucho ENSHHUG00000017076
hucho_hucho ENSHHUG00000030052
esox_lucius ENSELUG00000012567
scleropages_formosus ENSSFOG00015023940
paramormyrops_kingsleyae ENSPKIG00000021797
scleropages_formosus ENSSFOG00015012722
paramormyrops_kingsleyae ENSPKIG00000001490
lepisosteus_oculatus ENSLOCG00000015731
erpetoichthys_calabaricus ENSECRG00000006961
callorhinchus_milii ENSCMIG00000015039
taeniopygia_guttata ENSTGUG00000013684
hucho_hucho ENSHHUG00000013937
petromyzon_marinus ENSPMAG00000007109
petromyzon_marinus ENSPMAG00000007104
eptatretus_burgeri ENSEBUG00000007211
ciona_savignyi ENSCSAVG00000001584
ciona_intestinalis ENSCING00000009291
drosophila_melanogaster FBgn0032721
caenorhabditis_elegans WBGene00016589
saccharomyces_cerevisiae YNL045W
