macaca_fascicularis ENSMFAG00000008838
macaca_nemestrina ENSMNEG00000027123
papio_anubis ENSPANG00000034670
theropithecus_gelada ENSTGEG00000020883
mandrillus_leucophaeus ENSMLEG00000000851
cercocebus_atys ENSCATG00000017253
piliocolobus_tephrosceles ENSPTEG00000030597
pan_paniscus ENSPPAG00000008964
pan_troglodytes ENSPTRG00000045650
gorilla_gorilla ENSGGOG00000037302
callithrix_jacchus ENSCJAG00000043747
aotus_nancymaae ENSANAG00000020702
microcebus_murinus ENSMICG00000033242
propithecus_coquereli ENSPCOG00000013303
