scleropages_formosus ENSSFOG00015003337
paramormyrops_kingsleyae ENSPKIG00000009577
labrus_bergylta ENSLBEG00000004720
labrus_bergylta ENSLBEG00000012923
gasterosteus_aculeatus ENSGACG00000011395
takifugu_rubripes ENSTRUG00000002009
tetraodon_nigroviridis ENSTNIG00000016251
mola_mola ENSMMOG00000015742
xiphophorus_maculatus ENSXMAG00000012541
xiphophorus_couchianus ENSXCOG00000005883
gambusia_affinis ENSGAFG00000012220
poecilia_formosa ENSPFOG00000010878
poecilia_mexicana ENSPMEG00000022039
poecilia_reticulata ENSPREG00000007868
poecilia_latipinna ENSPLAG00000013027
fundulus_heteroclitus ENSFHEG00000002320
cyprinodon_variegatus ENSCVAG00000003837
kryptolebias_marmoratus ENSKMAG00000008685
oryzias_latipes ENSORLG00020012014
oryzias_latipes ENSORLG00020000822
oryzias_latipes ENSORLG00000004070
oryzias_latipes_asm223469v1 ENSORLG00015015971
oryzias_melastigma ENSOMEG00000001019
maylandia_zebra ENSMZEG00005009198
pundamilia_nyererei ENSPNYG00000002548
astatotilapia_calliptera ENSACLG00000001601
neolamprologus_brichardi ENSNBRG00000023544
haplochromis_burtoni ENSHBUG00000017368
oreochromis_niloticus ENSONIG00000016888
oreochromis_niloticus ENSONIG00000016885
amphilophus_citrinellus ENSACIG00000020260
amphiprion_ocellaris ENSAOCG00000022697
amphiprion_percula ENSAPEG00000008806
acanthochromis_polyacanthus ENSAPOG00000022236
stegastes_partitus ENSSPAG00000013959
monopterus_albus ENSMALG00000015263
mastacembelus_armatus ENSMAMG00000009997
anabas_testudineus ENSATEG00000013954
seriola_lalandi_dorsalis ENSSLDG00000004412
seriola_dumerili ENSSDUG00000010815
scophthalmus_maximus ENSSMAG00000005723
cynoglossus_semilaevis ENSCSEG00000007708
periophthalmus_magnuspinnatus ENSPMGG00000010310
gadus_morhua ENSGMOG00000007257
esox_lucius ENSELUG00000012834
pygocentrus_nattereri ENSPNAG00000015975
astyanax_mexicanus ENSAMXG00000011890
ictalurus_punctatus ENSIPUG00000015481
danio_rerio ENSDARG00000097212
danio_rerio ENSDARG00000028784
lepisosteus_oculatus ENSLOCG00000007930
