monodelphis_domestica ENSMODG00000013891
vombatus_ursinus ENSVURG00010023455
oryctolagus_cuniculus ENSOCUG00000038122
dipodomys_ordii ENSDORG00000025198
carlito_syrichta ENSTSYG00000025828
prolemur_simus ENSPSMG00000024428
macaca_mulatta ENSMMUG00000019064
panthera_pardus ENSPPRG00000023396
panthera_tigris ENSPTIG00000015829
vicugna_pacos ENSVPAG00000000459
procavia_capensis ENSPCAG00000001063
propithecus_coquereli ENSPCOG00000022563
microcebus_murinus ENSMICG00000045840
peromyscus_maniculatus ENSPEMG00000017891
microtus_ochrogaster ENSMOCG00000018485
cricetulus_griseus ENSCGRG00001012510
cricetulus_griseus ENSCGRG00000017646
mesocricetus_auratus ENSMAUG00000010359
rattus_norvegicus ENSRNOG00000048407
macaca_mulatta ENSMMUG00000058405
spermophilus_dauricus ENSSDAG00000008436
urocitellus_parryii ENSUPAG00010011397
marmota_marmota ENSMMMG00000005904
ursus_maritimus ENSUMAG00000018497
