marmota_marmota_marmota ENSMMMG00000015015
urocitellus_parryii ENSUPAG00010012254
spermophilus_dauricus ENSSDAG00000002722
castor_canadensis ENSCCNG00000009199
pan_troglodytes ENSPTRG00000047739
pan_troglodytes ENSPTRG00000049331
pan_paniscus ENSPPAG00000021186
gorilla_gorilla ENSGGOG00000038449
nomascus_leucogenys ENSNLEG00000031958
piliocolobus_tephrosceles ENSPTEG00000034971
ursus_americanus ENSUAMG00000023622
ursus_maritimus ENSUMAG00000022031
vulpes_vulpes ENSVVUG00000008768
canis_lupus_dingo ENSCAFG00020001504
neovison_vison ENSNVIG00000015138
sus_scrofa ENSSSCG00000032864
equus_caballus ENSECAG00000036958
equus_asinus_asinus ENSEASG00005021612
