tetraodon_nigroviridis ENSTNIG00000005303
takifugu_rubripes ENSTRUG00000003633
cynoglossus_semilaevis ENSCSEG00000010124
hippocampus_comes ENSHCOG00000009922
scophthalmus_maximus ENSSMAG00000021025
gasterosteus_aculeatus ENSGACG00000019752
mastacembelus_armatus ENSMAMG00000000385
monopterus_albus ENSMALG00000008783
anabas_testudineus ENSATEG00000020899
poecilia_formosa ENSPFOG00000000634
poecilia_mexicana ENSPMEG00000000059
poecilia_latipinna ENSPLAG00000015514
poecilia_reticulata ENSPREG00000020952
xiphophorus_maculatus ENSXMAG00000016020
gambusia_affinis ENSGAFG00000004597
xiphophorus_couchianus ENSXCOG00000008292
fundulus_heteroclitus ENSFHEG00000002501
kryptolebias_marmoratus ENSKMAG00000004655
oryzias_latipes_asm223469v1 ENSORLG00015015635
oryzias_latipes ENSORLG00020016044
oryzias_latipes ENSORLG00000001445
oryzias_melastigma ENSOMEG00000007489
amphilophus_citrinellus ENSACIG00000010085
neolamprologus_brichardi ENSNBRG00000003948
pundamilia_nyererei ENSPNYG00000023467
haplochromis_burtoni ENSHBUG00000006995
astatotilapia_calliptera ENSACLG00000016107
maylandia_zebra ENSMZEG00005005230
oreochromis_niloticus ENSONIG00000000038
neolamprologus_brichardi ENSNBRG00000003970
cyprinodon_variegatus ENSCVAG00000016786
amphiprion_ocellaris ENSAOCG00000018627
amphiprion_percula ENSAPEG00000006350
acanthochromis_polyacanthus ENSAPOG00000006222
stegastes_partitus ENSSPAG00000010541
mola_mola ENSMMOG00000018787
labrus_bergylta ENSLBEG00000001791
seriola_dumerili ENSSDUG00000001039
seriola_lalandi_dorsalis ENSSLDG00000016961
periophthalmus_magnuspinnatus ENSPMGG00000016162
gadus_morhua ENSGMOG00000004973
esox_lucius ENSELUG00000013038
pygocentrus_nattereri ENSPNAG00000013931
astyanax_mexicanus ENSAMXG00000003141
ictalurus_punctatus ENSIPUG00000005709
danio_rerio ENSDARG00000087205
