chinchilla_lanigera ENSCLAG00000015078
octodon_degus ENSODEG00000011286
cavia_aperea ENSCAPG00000005744
cavia_porcellus ENSCPOG00000021805
fukomys_damarensis ENSFDAG00000019298
spermophilus_dauricus ENSSDAG00000001062
ictidomys_tridecemlineatus ENSSTOG00000020656
castor_canadensis ENSCCNG00000012215
dipodomys_ordii ENSDORG00000026492
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031286
mus_musculus ENSMUSG00000055643
mus_spicilegus ENSMSIG00000000248
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030178
mus_pahari MGP_PahariEiJ_G0013394
rattus_norvegicus ENSRNOG00000036807
meriones_unguiculatus ENSMUGG00000020194
peromyscus_maniculatus_bairdii ENSPEMG00000023661
microtus_ochrogaster ENSMOCG00000020833
cricetulus_griseus_crigri ENSCGRG00000013023
cricetulus_griseus_chok1gshd ENSCGRG00001019232
mesocricetus_auratus ENSMAUG00000000953
jaculus_jaculus ENSJJAG00000015100
oryctolagus_cuniculus ENSOCUG00000024880
prolemur_simus ENSPSMG00000000587
bos_mutus ENSBMUG00000000145
bos_taurus ENSBTAG00000017647
bison_bison_bison ENSBBBG00000022949
capra_hircus ENSCHIG00000016112
sus_scrofa ENSSSCG00000027874
equus_caballus ENSECAG00000013241
ailuropoda_melanoleuca ENSAMEG00000019002
neovison_vison ENSNVIG00000017935
canis_lupus_dingo ENSCAFG00020009150
canis_lupus_familiaris ENSCAFG00000024525
vulpes_vulpes ENSVVUG00000015660
dasypus_novemcinctus ENSDNOG00000045322
loxodonta_africana ENSLAFG00000027982
sarcophilus_harrisii ENSSHAG00000013516
phascolarctos_cinereus ENSPCIG00000011286
monodelphis_domestica ENSMODG00000011436
