astyanax_mexicanus ENSAMXG00000026123
pygocentrus_nattereri ENSPNAG00000023238
ictalurus_punctatus ENSIPUG00000015948
danio_rerio ENSDARG00000036073
esox_lucius ENSELUG00000018254
paramormyrops_kingsleyae ENSPKIG00000006578
scleropages_formosus ENSSFOG00015000406
paramormyrops_kingsleyae ENSPKIG00000020792
scleropages_formosus ENSSFOG00015011571
poecilia_latipinna ENSPLAG00000007081
poecilia_mexicana ENSPMEG00000022875
poecilia_reticulata ENSPREG00000008318
gambusia_affinis ENSGAFG00000005959
xiphophorus_maculatus ENSXMAG00000019691
xiphophorus_couchianus ENSXCOG00000009782
fundulus_heteroclitus ENSFHEG00000011702
oryzias_latipes ENSORLG00020000403
oryzias_melastigma ENSOMEG00000022638
amphiprion_percula ENSAPEG00000000024
amphiprion_ocellaris ENSAOCG00000013250
acanthochromis_polyacanthus ENSAPOG00000009622
stegastes_partitus ENSSPAG00000022445
scophthalmus_maximus ENSSMAG00000002862
cynoglossus_semilaevis ENSCSEG00000006448
labrus_bergylta ENSLBEG00000026574
gasterosteus_aculeatus ENSGACG00000017539
oreochromis_niloticus ENSONIG00000020606
maylandia_zebra ENSMZEG00005001888
amphilophus_citrinellus ENSACIG00000001376
kryptolebias_marmoratus ENSKMAG00000011673
seriola_dumerili ENSSDUG00000007487
monopterus_albus ENSMALG00000014360
anabas_testudineus ENSATEG00000014467
takifugu_rubripes ENSTRUG00000020219
hippocampus_comes ENSHCOG00000006847
lepisosteus_oculatus ENSLOCG00000017587
xenopus_tropicalis ENSXETG00000027337
eptatretus_burgeri ENSEBUG00000006127
ciona_intestinalis ENSCING00000012799
ciona_savignyi ENSCSAVG00000001704
